alpha,arousal1,betha,theta,gamma,valence1,Stimuli(Visual),Response
2.91,0.343,4.28,4.6,3.03,0.026,Happy,Happy
3.09,0.324,3.4,4.54,1.62,0.00861,Happy,Happy
3.38,0.296,2.96,4.39,1.65,-0.00734,Happy,Happy
3.5,0.286,3.12,4.31,1.64,-0.0227,Happy,Happy
3.42,0.293,3.17,4.63,1.71,-0.0315,Happy,Happy
3.48,0.287,3.09,4.82,1.69,-0.0353,Happy,Happy
3.52,0.284,3.03,4.77,1.68,-0.0424,Happy,Happy
3.48,0.288,3.03,4.72,1.71,-0.0523,Happy,Happy
3.43,0.291,3.07,4.69,1.74,-0.0547,Happy,Happy
3.45,0.29,3.07,4.63,1.75,-0.0528,Happy,Happy
3.45,0.29,3.17,4.65,1.74,-0.0534,Happy,Happy
3.4,0.295,3.17,4.77,1.72,-0.0556,Happy,Happy
3.22,0.31,3.13,4.87,1.77,-0.063,Happy,Happy
2.75,0.364,3.07,4.93,1.69,-0.0804,Happy,Happy
2.61,0.383,3.1,4.84,1.75,-0.0634,Happy,Happy
2.71,0.369,3.24,4.5,1.89,-0.0398,Happy,Happy
2.74,0.366,3.32,4.24,2.02,-0.00465,Happy,Happy
2.78,0.36,3.44,4.3,2.02,0.0204,Happy,Happy
2.88,0.348,3.48,4.37,1.99,0.0205,Happy,Happy
2.95,0.339,3.54,4.34,2.26,0.0109,Happy,Happy
3.06,0.327,3.49,4.35,2.32,0.00451,Happy,Happy
3.16,0.316,3.5,4.36,2.37,0.000844,Happy,Happy
3.4,0.294,3.53,4.22,2.41,-0.0108,Happy,Happy
3.56,0.281,3.47,4.01,2.94,-0.0161,Happy,Happy
3.55,0.281,3.7,3.86,3.5,-0.0182,Happy,Happy
3.61,0.277,3.89,3.86,4.43,-0.0208,Happy,Happy
3.64,0.275,3.93,4.13,4.42,-0.0211,Happy,Happy
3.73,0.268,3.88,4.66,4.44,-0.0185,Happy,Happy
3.76,0.266,3.89,4.83,4.46,-0.0162,Happy,Happy
3.83,0.261,3.93,4.83,4.47,-0.0139,Happy,Happy
3.85,0.26,3.9,4.85,4.45,-0.0124,Happy,Happy
3.84,0.26,3.92,4.82,4.48,-0.0127,Happy,Happy
3.76,0.266,3.91,4.79,4.49,-0.00979,Happy,Happy
3.58,0.279,3.96,4.81,4.48,-0.00139,Happy,Happy
3.58,0.279,3.88,4.84,4.37,0.00321,Happy,Happy
3.52,0.284,3.78,4.82,3.76,0.00798,Happy,Happy
3.4,0.294,3.43,4.76,2.88,0.00931,Happy,Happy
3.34,0.3,3.42,4.46,2.85,0.00079,Happy,Happy
3.02,0.331,3.28,3.87,2.79,-0.00524,Happy,Happy
2.83,0.354,3.21,3.59,2.72,-0.0109,Happy,Happy
2.71,0.37,3.19,3.46,2.7,-0.0233,Happy,Happy
2.58,0.388,3.17,3.36,2.74,-0.0284,Happy,Happy
2.7,0.371,3.06,3.61,2.57,-0.0323,Happy,Happy
2.98,0.336,3.06,3.98,2.39,-0.0424,Happy,Happy
3.15,0.317,2.83,4.08,2.35,-0.0531,Happy,Happy
3.13,0.319,2.61,4.04,2.33,-0.0683,Happy,Happy
3.15,0.317,2.68,4.04,2.4,-0.074,Happy,Happy
3.19,0.313,2.75,4.04,2.28,-0.0752,Happy,Happy
3.19,0.314,2.81,3.98,2.25,-0.0718,Happy,Happy
3.21,0.312,2.85,3.99,2.2,-0.0659,Happy,Happy
3.19,0.314,2.91,4.01,2.26,-0.0643,Happy,Happy
3.13,0.319,2.92,4.02,2.18,-0.0617,Happy,Happy
3.11,0.322,2.87,4.02,2.2,-0.0556,Happy,Happy
2.94,0.34,2.88,3.88,2.16,-0.0604,Happy,Happy
2.69,0.372,2.96,3.57,2.31,-0.0603,Happy,Happy
2.79,0.359,3.03,3.44,2.46,-0.0594,Happy,Happy
2.92,0.343,3.06,3.43,2.44,-0.0677,Happy,Happy
2.96,0.338,3.06,3.4,2.34,-0.0644,Happy,Happy
2.95,0.339,3.22,3.37,2.46,-0.0521,Happy,Happy
3.16,0.316,3.33,3.32,2.5,-0.0438,Happy,Happy
3.33,0.3,3.3,3.33,2.49,-0.0472,Happy,Happy
3.37,0.297,3.22,3.44,2.47,-0.0466,Happy,Happy
3.39,0.295,3.26,3.46,2.51,-0.0431,Happy,Happy
3.43,0.292,3.25,3.48,2.42,-0.0383,Happy,Happy
3.49,0.286,3.18,3.32,2.39,-0.0313,Happy,Happy
3.46,0.289,3.12,3.05,2.27,-0.0285,Happy,Happy
3.35,0.299,3.2,3.03,2.2,-0.0203,Happy,Happy
3.25,0.308,3.22,3.3,2.18,-0.0121,Happy,Happy
3.46,0.289,3,3.55,2.17,-0.0122,Happy,Happy
3.59,0.279,2.72,3.51,2.09,-0.0102,Happy,Happy
3.48,0.288,2.74,3.53,2.09,-0.00187,Happy,Happy
3.4,0.294,2.74,3.7,2.07,0.00618,Happy,Happy
3.41,0.293,2.75,3.93,2.04,0.00413,Happy,Happy
3.36,0.298,2.69,4.08,2.04,-0.0019,Happy,Happy
