alpha,arousal1,beta,theta,gamma,valence1,Stimuli (Audio),Response
1.958,0.511,3.783,3.782,2.477,-0.012,Calm,Sad
2.099,0.476,3.831,3.659,2.419,-0.024,Calm,Sad
2.118,0.472,3.874,3.441,2.533,-0.024,Calm,Sad
2.116,0.472,3.83,3.347,2.517,0.026,Calm,Sad
2.446,0.409,3.962,3.283,2.536,0.031,Calm,Sad
2.614,0.383,3.959,3.268,2.63,0.02,Calm,Sad
2.682,0.373,3.918,3.302,2.535,0.021,Calm,Sad
2.716,0.368,3.847,3.501,2.453,0.03,Calm,Sad
2.72,0.368,3.852,3.822,2.464,0.03,Calm,Sad
2.815,0.355,3.862,3.897,2.479,0.034,Calm,Sad
2.949,0.339,3.675,3.987,2.524,0.048,Calm,Sad
2.955,0.338,3.534,4.26,2.509,0.044,Calm,Sad
2.949,0.339,3.35,4.511,2.454,0.042,Calm,Sad
2.952,0.339,3.367,4.574,2.355,0.032,Calm,Sad
2.841,0.352,3.338,4.539,2.274,0.025,Calm,Sad
2.705,0.37,3.076,4.585,2.1,0.008,Calm,Sad
2.692,0.371,3.301,4.62,2.097,-0.024,Calm,Sad
2.675,0.374,3.398,4.584,2.075,-0.045,Calm,Sad
2.627,0.381,3.38,4.498,2.143,-0.068,Calm,Sad
2.649,0.377,3.783,4.364,2.32,-0.067,Calm,Sad
2.46,0.406,3.82,4.298,2.307,-0.127,Calm,Sad
2.378,0.421,3.896,4.305,2.252,-0.175,Calm,Sad
2.302,0.434,4.005,4.244,2.243,-0.184,Calm,Sad
2.359,0.424,3.988,4.133,2.222,-0.178,Calm,Sad
2.453,0.408,3.972,4.042,2.188,-0.141,Calm,Sad
2.434,0.411,4.004,3.942,2.197,-0.14,Calm,Sad
2.341,0.427,3.894,3.828,2.222,-0.123,Calm,Sad
2.179,0.459,3.937,3.887,2.18,-0.074,Calm,Sad
2.125,0.471,4.095,3.952,2.18,-0.063,Calm,Sad
2.15,0.465,4.134,3.972,2.126,-0.068,Calm,Sad
2.078,0.481,3.926,4.088,1.81,-0.073,Calm,Sad
2.062,0.485,3.969,4.116,1.892,-0.087,Calm,Sad
2.101,0.476,3.929,3.945,1.896,-0.109,Calm,Sad
2.091,0.478,3.899,3.794,1.945,-0.122,Calm,Sad
2.127,0.47,3.909,3.806,1.99,-0.151,Calm,Sad
2.205,0.453,3.923,3.937,1.989,-0.194,Calm,Sad
2.264,0.442,3.876,4.063,2.002,-0.15,Calm,Sad
2.312,0.432,3.92,4.132,2.121,-0.08,Calm,Sad
2.378,0.421,3.689,4.076,2.097,-0.055,Calm,Sad
2.359,0.424,3.564,4.022,2.209,-0.052,Calm,Sad
2.343,0.427,3.53,4,2.245,-0.052,Calm,Sad
2.354,0.425,3.45,3.899,2.273,-0.047,Calm,Sad
2.405,0.416,3.34,3.894,2.278,-0.04,Calm,Sad
2.502,0.4,3.57,3.868,2.311,-0.038,Calm,Sad
2.504,0.399,3.645,3.619,2.331,-0.033,Calm,Sad
2.339,0.428,3.61,3.479,2.316,0.01,Calm,Sad
2.208,0.453,3.64,3.473,2.302,0.047,Calm,Sad
2.192,0.456,3.636,3.504,2.144,0.014,Calm,Sad
2.123,0.471,3.656,3.609,2.096,-0.037,Calm,Sad
2.095,0.477,3.679,3.886,2.023,-0.073,Calm,Sad
2.117,0.472,3.679,4.051,1.99,-0.068,Calm,Sad
2.16,0.463,3.598,4.172,1.884,-0.04,Calm,Sad
2.171,0.461,3.653,4.474,1.887,-0.016,Calm,Sad
2.198,0.455,3.752,4.784,1.808,0.021,Calm,Sad
2.368,0.422,3.861,4.94,1.81,0.036,Calm,Sad
2.541,0.393,4.013,4.993,1.842,0.021,Calm,Sad
2.538,0.394,4.374,5.023,1.99,0.012,Calm,Sad
2.479,0.403,4.545,5.078,2.079,0.014,Calm,Sad
2.503,0.4,4.632,5.117,2.129,0.017,Calm,Sad
2.564,0.39,4.635,5.088,2.232,0.033,Calm,Sad
2.595,0.385,4.62,5.005,2.279,0.051,Calm,Sad
2.596,0.385,4.616,4.962,2.28,0.054,Calm,Sad
2.56,0.391,4.624,4.912,2.298,0.043,Calm,Sad
2.558,0.391,4.645,4.737,2.21,0.034,Calm,Sad
2.422,0.413,4.579,4.373,2.193,0.045,Calm,Sad
2.415,0.414,4.488,4.048,2.147,0.026,Calm,Sad
2.716,0.368,4.293,3.905,2.102,-0.013,Calm,Sad
2.918,0.343,4.046,3.752,2.042,-0.019,Calm,Sad
3.011,0.332,3.678,3.442,2.016,-0.015,Calm,Sad
3.045,0.328,3.571,2.995,2.09,-0.013,Calm,Sad
3.071,0.326,3.456,2.729,1.961,-0.013,Calm,Sad
3.098,0.323,3.52,3.213,1.941,-0.012,Calm,Sad
3.183,0.314,3.464,4.062,1.86,-0.013,Calm,Sad
3.348,0.299,3.344,4.415,1.885,-0.026,Calm,Sad
3.406,0.294,3.272,4.424,2.043,-0.041,Calm,Sad
3.444,0.29,3.392,4.473,2.056,-0.049,Calm,Sad
3.446,0.29,3.492,4.618,2.199,-0.037,Calm,Sad
3.373,0.296,3.389,4.751,2.242,-0.015,Calm,Sad
3.352,0.298,3.403,4.813,2.219,-0.006,Calm,Sad
3.327,0.301,3.438,4.817,2.324,-0.008,Calm,Sad
3.331,0.3,3.445,4.826,2.256,-0.007,Calm,Sad
3.421,0.292,3.465,4.822,2.379,-0.007,Calm,Sad
3.542,0.282,3.451,4.666,2.401,-0.016,Calm,Sad
3.542,0.282,3.445,4.312,2.43,-0.018,Calm,Sad
3.508,0.285,3.531,4.138,2.429,-0.011,Calm,Sad
3.587,0.279,3.531,4.246,2.487,0.001,Calm,Sad
3.648,0.274,3.518,4.27,2.565,0.006,Calm,Sad
3.618,0.276,3.401,4.087,2.591,0.005,Calm,Sad
3.557,0.281,3.517,3.749,2.645,0.002,Calm,Sad
3.539,0.283,3.478,3.573,2.637,0.003,Calm,Sad
3.544,0.282,3.52,3.572,2.583,0.008,Calm,Sad
3.526,0.284,3.52,3.573,2.643,0.011,Calm,Sad
3.596,0.278,3.442,3.494,2.545,0.006,Calm,Sad
3.742,0.267,3.452,3.654,2.528,-0.005,Calm,Sad
3.859,0.259,3.697,3.897,2.453,-0.011,Calm,Sad
3.958,0.253,3.711,3.996,2.44,-0.021,Calm,Sad
3.986,0.251,3.657,3.86,2.369,-0.032,Calm,Sad
3.953,0.253,3.606,3.799,2.241,-0.039,Calm,Sad
3.912,0.256,3.515,3.819,2.112,-0.043,Calm,Sad
3.904,0.256,3.408,3.84,2.001,-0.05,Calm,Sad
3.894,0.257,3.509,3.835,2.072,-0.059,Calm,Sad
3.914,0.255,3.546,3.858,2.008,-0.065,Calm,Sad
3.912,0.256,3.575,3.884,1.981,-0.068,Calm,Sad
3.824,0.262,3.553,3.813,2.016,-0.061,Calm,Sad
3.66,0.273,3.572,3.65,1.976,-0.053,Calm,Sad
3.427,0.292,3.227,3.548,1.982,-0.044,Calm,Sad
3.415,0.293,3.606,3.355,2.179,-0.051,Happy,Sad
3.357,0.298,3.598,3.239,2.201,-0.043,Happy,Sad
3.245,0.308,3.579,3.24,2.296,-0.03,Happy,Sad
