alpha,arousal1,beta,theta,gamma,valence1,Stimuli (Audio),Respuesta
7.78,0.13,9.03,7.9,8.5,0,Happy,Happy
7.88,0.13,9.08,7.96,8.52,0,Happy,Happy
7.89,0.13,9.11,7.98,8.53,0,Happy,Happy
7.9,0.13,9.14,8.03,8.53,0,Happy,Happy
7.93,0.13,9.15,8.13,8.53,0,Happy,Happy
7.97,0.13,9.15,8.23,8.53,0,Happy,Happy
7.98,0.13,9.15,8.29,8.53,-0.01,Happy,Happy
7.98,0.13,9.15,8.33,8.49,-0.01,Happy,Happy
7.98,0.13,7.53,8.33,5.49,-0.01,Happy,Happy
7.8,0.13,7.14,8.1,5.41,-0.01,Happy,Happy
7.01,0.14,7.02,7.62,5.38,-0.01,Happy,Happy
6.05,0.17,6.96,7.37,5.04,-0.03,Happy,Happy
5.9,0.17,6.3,7.39,4.26,-0.04,Happy,Happy
5.74,0.17,6.01,7.36,3.88,-0.05,Happy,Happy
5.7,0.18,4.94,7.16,3.6,-0.05,Happy,Happy
5.17,0.19,4.65,6.75,3.77,-0.05,Happy,Happy
4.53,0.22,4.58,6.33,3.77,-0.03,Happy,Happy
4.48,0.22,4.71,5.95,3.97,-0.02,Happy,Happy
4.42,0.23,4.64,5.7,3.96,-0.02,Happy,Happy
4.28,0.23,4.54,5.58,4.04,-0.01,Happy,Happy
4.05,0.25,4.36,5.25,4.18,-0.01,Happy,Happy
3.71,0.27,4.31,4.97,4.18,0,Happy,Happy
3.55,0.28,4.3,4.58,4.2,0.01,Happy,Happy
3.53,0.28,4.32,4.01,4.21,0.01,Happy,Happy
3.42,0.29,4.33,3.88,4.17,0,Happy,Happy
3.47,0.29,4.27,3.86,4.13,0,Happy,Happy
3.6,0.28,4.33,3.87,4.02,-0.01,Happy,Happy
3.57,0.28,4.31,3.89,3.98,-0.02,Happy,Happy
3.44,0.29,4.01,3.73,3.7,-0.03,Happy,Happy
3.39,0.3,3.99,3.53,3.73,-0.04,Happy,Happy
3.55,0.28,4.05,3.56,3.31,-0.04,Happy,Happy
3.62,0.28,4.06,3.58,3.23,-0.05,Happy,Happy
3.59,0.28,4.06,3.55,3.24,-0.06,Happy,Happy
3.6,0.28,3.96,3.56,3.22,-0.06,Happy,Happy
3.7,0.27,3.92,3.5,3.23,-0.05,Happy,Happy
3.81,0.26,3.94,3.46,3.22,-0.05,Happy,Happy
3.78,0.26,3.86,3.52,3.01,-0.06,Happy,Happy
3.65,0.27,3.72,3.61,3.19,-0.06,Happy,Happy
3.55,0.28,3.68,3.71,3.2,-0.06,Happy,Happy
3.61,0.28,3.66,3.71,3.26,-0.06,Happy,Happy
3.58,0.28,3.77,3.66,3.34,-0.07,Happy,Happy
3.47,0.29,3.54,3.67,3.29,-0.06,Happy,Happy
3.35,0.3,3.39,3.66,3.32,-0.05,Happy,Happy
3.32,0.3,3.4,3.61,3.35,-0.04,Happy,Happy
3.26,0.31,3.54,3.63,3.33,-0.05,Happy,Happy
3.09,0.32,3.87,3.65,3.62,-0.06,Happy,Happy
2.99,0.33,4,3.66,3.6,-0.06,Happy,Happy
3.01,0.33,4.07,3.72,3.77,-0.03,Happy,Happy
3.11,0.32,4.11,3.93,3.74,-0.01,Happy,Happy
3.19,0.31,4.15,4.22,3.69,0.01,Happy,Happy
3.22,0.31,4.38,4.33,3.74,0.03,Happy,Happy
3.14,0.32,4.44,4.31,3.87,0.04,Happy,Happy
3.1,0.32,4.48,4.4,4.01,0.04,Happy,Happy
3.06,0.33,4.6,4.6,4.01,0.03,Happy,Happy
3.07,0.33,4.59,4.74,4.1,0.03,Happy,Happy
3.03,0.33,4.58,4.78,4.04,0.04,Happy,Happy
2.99,0.33,4.45,4.78,4.11,0.05,Happy,Happy
3.03,0.33,4.41,4.85,4.16,0.03,Happy,Happy
2.99,0.33,4.3,4.94,4.01,0.02,Happy,Happy
3.06,0.33,4.32,4.83,4.03,-0.01,Happy,Happy
3.18,0.31,4.35,4.74,4.07,-0.04,Happy,Happy
3.24,0.31,4.01,4.89,4.1,-0.05,Happy,Happy
3.29,0.3,4.03,4.97,3.93,-0.04,Happy,Happy
3.32,0.3,3.95,4.87,3.84,-0.04,Happy,Happy
3.38,0.3,3.85,4.69,3.81,-0.03,Happy,Happy
3.39,0.29,3.65,4.59,3.7,-0.03,Happy,Happy
3.47,0.29,3.68,4.59,3.68,-0.02,Happy,Happy
3.62,0.28,3.75,4.53,3.44,-0.01,Happy,Happy
3.61,0.28,3.7,4.38,3.61,-0.01,Happy,Happy
3.56,0.28,3.78,4.29,3.57,-0.01,Happy,Happy
3.48,0.29,3.73,4.3,3.64,0,Happy,Happy
3.25,0.31,3.91,4.24,3.69,0.01,Happy,Happy
3.21,0.31,4.13,4.11,3.72,0.01,Happy,Happy
3.38,0.3,4.13,4.29,3.78,-0.01,Happy,Happy
3.47,0.29,4.07,4.4,3.77,-0.02,Happy,Happy
3.48,0.29,4.08,4.43,3.86,-0.02,Happy,Happy
3.45,0.29,4.08,4.47,3.84,-0.02,Happy,Happy
3.29,0.3,4.08,4.46,3.83,-0.02,Happy,Happy
3.24,0.31,4.08,4.44,3.77,-0.02,Happy,Happy
3.31,0.3,4.11,4.36,3.89,-0.03,Happy,Happy
3.3,0.3,4.11,4.39,3.97,-0.03,Happy,Happy
3.35,0.3,4.15,4.49,3.9,-0.02,Happy,Happy
3.35,0.3,3.7,4.42,3.71,-0.01,Happy,Happy
3.19,0.31,3.6,4.28,3.66,-0.01,Happy,Happy
3.03,0.33,3.74,4.35,3.69,0.02,Happy,Happy
3,0.33,3.82,4.43,3.73,0.05,Happy,Happy
3.06,0.33,3.95,4.38,3.86,0.05,Happy,Happy
3.1,0.32,3.92,4.33,3.9,0.05,Happy,Happy
3.04,0.33,3.88,4.33,3.91,0.05,Happy,Happy
2.87,0.35,3.9,4.32,3.81,0.07,Happy,Happy
2.82,0.35,3.84,4.27,3.69,0.11,Happy,Happy
2.85,0.35,3.83,4.16,3.57,0.12,Happy,Happy
2.84,0.35,3.77,4.08,3.62,0.11,Happy,Happy
2.84,0.35,3.71,4.03,3.63,0.12,Happy,Happy
2.72,0.37,3.66,3.8,3.53,0.14,Happy,Happy
2.79,0.36,3.56,3.56,3.55,0.09,Happy,Happy
3.09,0.32,3.42,3.84,3.27,0.05,Happy,Happy
3.49,0.29,3.27,4.27,3.14,0.02,Happy,Happy
3.67,0.27,3.32,4.38,3.16,0.02,Happy,Happy
3.74,0.27,3.21,4.41,3.2,0.03,Happy,Happy
3.82,0.26,3.57,4.49,3.07,0.03,Happy,Happy
3.84,0.26,3.64,4.56,3.29,0.02,Happy,Happy
3.91,0.26,3.83,4.57,3.32,0.02,Happy,Happy
3.96,0.25,3.98,4.51,3.46,0.02,Happy,Happy
3.97,0.25,4.1,4.49,3.52,0.02,Happy,Happy
3.95,0.25,4.21,4.45,3.64,0.02,Happy,Happy
3.88,0.26,4.21,4.31,3.66,0.02,Happy,Happy
2.88,0.35,3.18,3.46,2.85,-0.02,Happy,Calm
2.91,0.34,3.68,3.45,2.86,-0.01,Happy,Calm
3.12,0.32,3.66,4.2,2.72,0,Happy,Calm
3.7,0.27,3.57,5.09,2.56,0.01,Happy,Calm
3.79,0.26,3.58,5.4,2.56,0.02,Happy,Calm
3.76,0.27,3.69,5.43,2.51,0.02,Happy,Calm
3.79,0.26,3.7,5.47,2.46,0.02,Happy,Calm
3.78,0.26,3.71,5.55,2.59,0.02,Happy,Calm
3.72,0.27,3.75,5.57,2.67,0.02,Happy,Calm
3.7,0.27,3.75,5.56,2.65,0.02,Happy,Calm
3.7,0.27,3.74,5.55,2.68,0.03,Happy,Calm
3.65,0.27,3.56,5.54,2.59,0.03,Happy,Calm
3.63,0.28,3.24,5.51,2.7,0.02,Happy,Calm
3.21,0.31,3.29,5.24,2.64,0.03,Happy,Calm
2.38,0.42,3.27,4.61,2.72,0.02,Happy,Calm
1.84,0.54,3.21,4.05,2.78,-0.01,Happy,Calm
1.53,0.65,2.99,4.03,2.9,-0.06,Happy,Calm
1.52,0.66,3.04,3.77,2.85,-0.07,Happy,Calm
1.97,0.51,3.02,3.14,2.88,-0.05,Happy,Calm
2.25,0.44,3.32,2.87,2.62,-0.04,Happy,Calm
2.35,0.42,3.32,2.89,2.63,-0.05,Happy,Calm
2.39,0.42,3.35,2.84,2.71,-0.07,Happy,Calm
2.45,0.41,3.42,2.94,2.71,-0.07,Happy,Calm
2.47,0.4,3.41,2.94,2.63,-0.09,Happy,Calm
2.65,0.38,3.42,2.97,2.63,-0.08,Happy,Calm
2.89,0.35,3.4,3.02,2.51,-0.08,Happy,Calm
3.03,0.33,3.48,3.03,2.55,-0.08,Happy,Calm
3.07,0.33,3.61,3.2,2.46,-0.07,Happy,Calm
2.99,0.33,3.63,3.34,2.82,-0.07,Happy,Calm
2.83,0.35,3.53,3.35,2.99,-0.08,Happy,Calm
2.74,0.37,3.38,3.43,3.08,-0.09,Happy,Calm
2.71,0.37,3.39,3.55,3.2,-0.06,Happy,Calm
2.68,0.37,3.4,3.56,3.22,-0.03,Happy,Calm
2.63,0.38,3.3,3.59,3.31,-0.01,Happy,Calm
2.62,0.38,3.35,3.81,3.37,-0.01,Happy,Calm
2.41,0.41,3.38,3.97,3.41,0,Happy,Calm
1.9,0.53,3.44,4.04,3.46,0.05,Happy,Calm
1.65,0.61,3.27,4.09,3.45,0.09,Happy,Calm
1.54,0.65,3.2,4.08,3.47,0.1,Happy,Calm
1.78,0.56,3.31,4.08,3.34,0.08,Happy,Calm
1.88,0.53,3.53,4.05,3.36,0.09,Happy,Calm
1.89,0.53,3.51,3.95,3.37,0.09,Happy,Calm
2.15,0.46,3.58,3.9,3.26,0.07,Happy,Calm
2.44,0.41,3.97,3.9,3.41,0.04,Happy,Calm
2.75,0.36,4.38,4.13,3.38,0.01,Happy,Calm
3.13,0.32,4.94,5.27,3.4,-0.01,Happy,Calm
3.93,0.25,4.98,6.29,3.44,0.01,Happy,Calm
5.01,0.2,5.02,6.81,3.46,0.01,Happy,Calm
5.57,0.18,5.07,7.04,3.53,0.02,Happy,Calm
5.7,0.18,5.06,7.08,3.51,0.01,Happy,Calm
5.73,0.17,5.18,7.08,3.74,0.01,Happy,Calm
5.73,0.17,5.35,7.09,3.9,0.01,Happy,Calm
5.76,0.17,5.37,7.09,4.04,0,Happy,Calm
