alpha,arousal1,beta,theta,gamma,valence1,Stimuli (Visual),Response
4.93,0.2,4.33,5.56,3.58,-0.05,Sad,Sad
4.82,0.21,4.24,5.53,3.59,-0.06,Sad,Sad
4.66,0.21,4.24,5.39,3.47,-0.07,Sad,Sad
4.56,0.22,4.25,5.16,3.46,-0.09,Sad,Sad
4.57,0.22,4.27,5.19,3.45,-0.09,Sad,Sad
4.55,0.22,4.26,5.3,3.36,-0.1,Sad,Sad
4.52,0.22,3.75,5.31,3.02,-0.09,Sad,Sad
4.36,0.23,3.56,5.25,3.04,-0.07,Sad,Sad
3.73,0.27,3.62,5.07,3.05,-0.02,Sad,Sad
3.03,0.33,5.92,4.87,5.65,0.06,Sad,Sad
4.1,0.24,7.08,5.12,6.37,0.01,Sad,Sad
5.41,0.18,7.4,5.7,6.4,0,Sad,Sad
5.69,0.18,7.48,6.42,6.43,-0.01,Sad,Sad
6.05,0.17,7.49,6.91,6.46,0.01,Sad,Sad
6.41,0.16,7.52,7.07,6.46,0.02,Sad,Sad
6.51,0.15,7.52,7.05,6.47,0.02,Sad,Sad
6.55,0.15,7.53,7.09,6.47,0.02,Sad,Sad
6.55,0.15,7.53,7.15,6.47,0.02,Sad,Sad
6.55,0.15,7.52,7.14,6.46,0.02,Sad,Sad
6.55,0.15,7.52,7.13,6.47,0.01,Sad,Sad
6.55,0.15,7.02,7.12,5.94,0.01,Sad,Sad
6.44,0.16,6.52,7.08,4.38,0.02,Sad,Sad
6.14,0.16,5.26,6.96,4.36,0.03,Sad,Sad
5.97,0.17,4.9,6.48,3.94,0.04,Sad,Sad
5.37,0.19,4.67,5.64,3.82,0.02,Sad,Sad
4.35,0.23,4.41,5.22,3.71,-0.01,Sad,Sad
3.73,0.27,4.21,4.95,3.6,-0.01,Sad,Sad
3.22,0.31,4.19,4,3.59,-0.03,Sad,Sad
3.11,0.32,4.23,3.27,3.59,-0.06,Sad,Sad
3.08,0.32,4.28,3.25,3.57,-0.05,Sad,Sad
2.96,0.34,4.16,3.25,3.12,-0.04,Sad,Sad
2.78,0.36,4.2,3.23,3.06,-0.05,Sad,Sad
2.76,0.36,4.19,3.21,3.01,-0.02,Sad,Sad
2.82,0.35,4.1,3.23,3.01,-0.01,Sad,Sad
