alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Respuesta
2.55,0.39,3.27,4.3,2.1,-0.03,Happy,?
2.64,0.38,2.82,4.23,2,-0.03,Happy,?
2.56,0.39,2.8,3.81,2.01,-0.04,Happy,?
2.44,0.41,2.79,3.31,2.03,-0.06,Happy,?
2.44,0.41,2.76,3.52,2.03,-0.08,Happy,?
2.42,0.41,2.77,3.66,2.12,-0.08,Happy,?
2.42,0.41,2.79,3.63,2.17,-0.08,Happy,?
2.42,0.41,2.83,3.6,2.23,-0.08,Happy,?
2.49,0.4,3.04,3.51,2.28,-0.06,Happy,?
2.94,0.34,3.05,3.78,2.41,-0.02,Happy,?
3.28,0.3,3.07,4.19,3.03,0,Happy,?
3.29,0.3,3.34,4.4,3.43,0.01,Happy,?
3.38,0.3,4.2,4.49,3.82,0.01,Happy,?
4.12,0.24,5.22,4.98,4.25,0,Happy,?
5.47,0.18,5.37,5.94,4.45,-0.01,Happy,?
6.34,0.16,5.53,6.47,4.55,-0.01,Happy,?
6.65,0.15,5.59,6.73,4.66,-0.01,Happy,?
6.7,0.15,5.63,6.97,4.68,-0.01,Happy,?
6.71,0.15,5.66,7.09,4.72,-0.01,Happy,?
6.71,0.15,5.66,7.12,4.74,-0.01,Happy,?
6.69,0.15,5.65,7.13,4.69,-0.01,Happy,?
6.69,0.15,5.64,7.13,4.62,-0.01,Happy,?
6.69,0.15,5.59,7.12,4.45,-0.01,Happy,?
6.69,0.15,5.22,7.12,4.36,-0.01,Happy,?
6.58,0.15,4.81,7.01,3.78,-0.01,Happy,?
6.11,0.16,4.42,6.64,3.69,-0.01,Happy,?
5.21,0.19,4.02,6.4,3.39,-0.01,Happy,?
3.97,0.25,3.9,6.13,3.15,0,Happy,?
3.28,0.3,3.74,5.5,2.94,0.01,Happy,?
3.21,0.31,3.59,4.75,2.82,0.01,Happy,?
3.09,0.32,3.6,4.25,2.9,0.01,Happy,?
3.07,0.33,3.65,3.97,2.96,0.01,Happy,?
2.92,0.34,3.69,3.85,3,0,Happy,?
2.9,0.35,3.69,3.69,3.07,-0.01,Happy,?
2.86,0.35,3.86,3.45,2.99,-0.03,Happy,?
2.89,0.35,3.77,3.04,2.97,-0.03,Happy,?
2.83,0.35,3.76,2.81,2.99,-0.02,Happy,?
2.68,0.37,3.82,2.83,2.84,-0.02,Happy,?
2.56,0.39,3.81,2.97,2.86,-0.02,Happy,?
2.53,0.4,3.75,2.96,2.93,-0.01,Happy,?
2.59,0.39,3.75,2.69,2.76,0,Happy,?
2.56,0.39,3.76,2.5,2.91,0,Happy,?
2.43,0.41,3.74,2.54,3.03,0,Happy,?
2.43,0.41,3.65,2.65,3.1,0,Happy,?
2.45,0.41,3.6,2.68,3.31,-0.01,Happy,?
2.59,0.39,3.5,2.82,3.46,0.01,Happy,?
3.11,0.32,3.46,3.71,3.46,0.01,Happy,?
3.54,0.28,3.71,4.33,4.19,0.01,Happy,?
3.74,0.27,3.77,4.71,4.23,0.01,Happy,?
3.82,0.26,3.86,5.01,4.27,0.01,Happy,?
3.82,0.26,3.84,5.16,4.29,0.01,Happy,?
3.79,0.26,3.9,5.26,4.35,0.01,Happy,?
3.78,0.26,4.15,5.34,4.33,0.02,Happy,?
3.79,0.26,4.17,5.41,4.33,0.02,Happy,?
3.82,0.26,4.2,5.46,4.27,0.02,Happy,?
3.92,0.25,4.17,5.47,4.2,0.02,Happy,?
3.89,0.26,4.14,5.43,4.15,0.01,Happy,?
3.6,0.28,4.06,5.29,3.86,0.02,Happy,?
3.24,0.31,3.86,5.1,3.31,0.02,Happy,?
2.98,0.34,3.74,4.84,3.07,0.02,Happy,?
2.87,0.35,3.63,4.52,3.03,0.02,Happy,?
2.87,0.35,3.55,4.37,2.67,0.01,Happy,?
2.95,0.34,3.29,4.31,2.41,-0.01,Happy,?
2.96,0.34,2.7,4.21,2.14,-0.02,Happy,?
2.9,0.34,2.72,3.95,2.4,-0.02,Happy,?
2.84,0.35,2.78,3.69,2.48,-0.02,Happy,?
2.72,0.37,2.84,3.81,2.4,-0.02,Happy,?
2.63,0.38,2.88,3.96,2.72,0,Happy,?
2.64,0.38,2.93,3.92,2.81,0.01,Happy,?
2.84,0.35,3.05,3.96,2.79,0.01,Happy,?
3,0.33,3.11,4.03,2.83,0.01,Happy,?
3.04,0.33,3.11,3.95,2.83,0.01,Happy,?
3.03,0.33,3.14,3.79,2.87,0.01,Happy,?
2.96,0.34,3.22,3.69,2.97,0.01,Happy,?
2.98,0.34,3.19,3.63,2.98,0.02,Happy,?
3.01,0.33,3.08,3.62,2.82,0.03,Happy,?
2.91,0.34,2.99,3.62,2.84,0.03,Happy,?
2.77,0.36,3.26,3.43,2.99,0.04,Happy,?
2.95,0.34,3.24,3.36,2.75,0.05,Happy,?
3.3,0.3,3.22,3.58,2.72,0.05,Happy,?
3.35,0.3,3.11,3.7,2.73,0.05,Happy,?
3.28,0.31,3.1,3.63,2.67,0.05,Happy,?
3.29,0.3,3.06,3.76,2.64,0.05,Happy,?
3.28,0.31,2.99,4.09,2.59,0.05,Happy,?
3.29,0.3,3.01,4.25,2.52,0.05,Happy,?
3.3,0.3,3.05,4.28,2.57,0.04,Happy,?
3.26,0.31,3.04,4.56,2.59,0.04,Happy,?
3.28,0.31,3.01,4.9,2.36,0.03,Happy,?
3.25,0.31,2.5,5.06,2.13,0.01,Happy,?
2.97,0.34,2.49,5.1,2.2,-0.01,Happy,?
2.67,0.37,2.55,5.07,2.05,-0.04,Happy,?
2.95,0.34,2.69,5.06,2.02,-0.02,Happy,?
3.23,0.31,2.69,5.06,2.01,-0.01,Happy,?
3.28,0.31,2.74,5.02,2.04,-0.01,Happy,?
3.27,0.31,2.75,4.91,1.84,-0.01,Happy,?
3.24,0.31,2.63,4.84,1.69,0,Happy,?
3.22,0.31,2.65,4.79,1.46,0,Happy,?
3.22,0.31,2.66,4.53,1.37,0,Happy,?
3.18,0.31,2.65,4.08,1.25,0.01,Happy,?
3.15,0.32,2.63,3.57,1.15,0.02,Happy,?
3.14,0.32,2.54,3.26,1.6,0.03,Happy,?
3,0.33,2.41,3.42,1.83,0.02,Happy,?
2.74,0.37,2.68,3.68,2.06,-0.01,Happy,?
2.69,0.37,2.93,3.9,2.14,-0.02,Happy,?
2.94,0.34,3.04,4.2,2.22,-0.01,Happy,?
3.45,0.29,3.58,3.98,3.31,-0.05,Happy,Happy
3.44,0.29,3.6,4.11,3.28,-0.05,Happy,Happy
3.79,0.26,4.2,5.35,3.46,-0.02,Happy,Happy
4.84,0.21,4.11,6.39,3.71,-0.01,Happy,Happy
5.32,0.19,4.15,6.69,3.68,-0.01,Happy,Happy
5.44,0.18,4.19,6.7,3.66,-0.01,Happy,Happy
5.51,0.18,4.26,6.71,3.7,-0.01,Happy,Happy
5.55,0.18,4.29,6.71,3.72,-0.01,Happy,Happy
5.57,0.18,4.24,6.7,3.7,-0.01,Happy,Happy
5.57,0.18,4.28,6.69,3.76,-0.01,Happy,Happy
5.57,0.18,4.32,6.69,3.82,-0.01,Happy,Happy
5.58,0.18,4.36,6.69,3.81,-0.01,Happy,Happy
5.58,0.18,4.09,6.68,3.94,-0.01,Happy,Happy
5.42,0.18,3.86,6.47,3.75,-0.01,Happy,Happy
5.02,0.2,3.81,5.58,3.75,-0.01,Happy,Happy
4.48,0.22,3.98,4.4,3.79,-0.02,Happy,Happy
4.28,0.23,4.17,4.21,4.29,-0.02,Happy,Happy
4.17,0.24,4.21,4.14,4.3,-0.03,Happy,Happy
4,0.25,4.38,4.25,4.42,-0.04,Happy,Happy
4.03,0.25,4.5,4.51,4.43,-0.03,Happy,Happy
4.02,0.25,4.49,4.71,4.4,-0.03,Happy,Happy
4.07,0.25,4.5,4.85,4.34,-0.02,Happy,Happy
4.13,0.24,4.52,5,4.34,-0.02,Happy,Happy
4.1,0.24,4.59,5.11,4.24,-0.01,Happy,Happy
4.11,0.24,4.67,5.05,4.22,-0.01,Happy,Happy
4.16,0.24,4.68,5.11,4.41,-0.01,Happy,Happy
4.13,0.24,4.45,5.18,4.38,-0.01,Happy,Happy
4.02,0.25,4.65,5.29,4.13,0,Happy,Happy
4,0.25,4.67,5.58,4.1,0,Happy,Happy
4.24,0.24,4.78,5.63,4.2,0,Happy,Happy
4.59,0.22,5,5.93,4.22,0,Happy,Happy
