alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Agressive
2.93,0.341,3.36,3.75,1.87,-0.0532,Agressive,Agressive
2.84,0.352,3.13,3.74,1.9,-0.0573,Agressive,Agressive
2.75,0.363,3.12,3.73,2.05,-0.0694,Agressive,Agressive
2.71,0.369,3.15,3.71,2.03,-0.076,Agressive,Agressive
3.03,0.331,3.16,4.55,2.04,-0.0464,Agressive,Agressive
3.67,0.272,3.15,5.27,2.07,-0.013,Agressive,Agressive
3.8,0.263,3.4,5.45,2.21,0.000842,Agressive,Agressive
3.9,0.256,3.4,5.59,2.15,0.0111,Agressive,Agressive
4.04,0.248,3.32,5.79,1.94,0.0117,Agressive,Agressive
4.13,0.242,3.2,5.91,1.93,0.0156,Agressive,Agressive
4.11,0.243,3.23,5.94,1.91,0.018,Agressive,Agressive
4.12,0.243,3.23,5.99,2.01,0.0184,Agressive,Agressive
4.14,0.242,3.23,6.03,2,0.0179,Agressive,Agressive
4.16,0.241,3.18,6.05,1.93,0.02,Agressive,Agressive
4.15,0.241,3.26,6.03,2.03,0.0202,Agressive,Agressive
3.93,0.255,3.46,5.86,2.42,0.0288,Agressive,Agressive
3.67,0.272,3.57,5.66,2.35,0.0459,Agressive,Agressive
3.68,0.272,3.43,5.57,2.35,0.0303,Agressive,Agressive
3.71,0.27,3.43,5.51,2.42,0.0269,Agressive,Agressive
3.45,0.289,3.47,5.32,2.4,0.031,Agressive,Agressive
3.39,0.295,3.48,5.14,2.39,0.0288,Agressive,Agressive
3.45,0.29,3.44,5.07,2.35,0.0277,Agressive,Agressive
3.54,0.283,3.48,4.92,2.34,0.0199,Agressive,Agressive
3.65,0.274,3.71,4.86,2.46,0.00323,Agressive,Agressive
3.73,0.268,3.74,4.84,2.44,-0.00775,Agressive,Agressive
3.72,0.269,3.7,4.8,2.29,-0.00917,Agressive,Agressive
3.68,0.272,3.55,4.67,2.03,-0.00782,Agressive,Agressive
3.56,0.281,3.45,4.46,2,-0.0152,Agressive,Agressive
3.32,0.302,3.32,4.35,1.97,-0.0263,Agressive,Agressive
3.18,0.314,3.33,4.31,1.9,-0.034,Agressive,Agressive
3.17,0.316,3.29,4.28,1.94,-0.0379,Agressive,Agressive
3.16,0.316,3.37,4.19,2.04,-0.0429,Agressive,Agressive
3.2,0.312,3.31,4.24,2.09,-0.0449,Agressive,Agressive
3.17,0.315,3.07,4.6,1.67,-0.0421,Agressive,Agressive
3.04,0.329,3,4.72,1.71,-0.0358,Agressive,Agressive
3.05,0.328,3.06,4.75,1.69,-0.0317,Agressive,Agressive
3.24,0.309,2.95,4.85,1.61,-0.0408,Agressive,Agressive
3.33,0.301,2.94,4.87,1.6,-0.0419,Agressive,Agressive
3.35,0.299,2.94,4.83,1.66,-0.0405,Agressive,Agressive
3.45,0.29,3.27,4.77,1.92,-0.0377,Agressive,Agressive
3.7,0.271,3.29,4.7,1.96,-0.0313,Agressive,Agressive
3.87,0.259,3.28,4.64,1.91,-0.0187,Agressive,Agressive
3.87,0.258,3.28,4.65,1.87,-0.00973,Agressive,Agressive
3.83,0.261,3.33,4.41,1.97,-0.00706,Agressive,Agressive
3.79,0.264,3.4,4.06,2.08,-0.00392,Agressive,Agressive
3.84,0.26,3.31,4.19,1.99,-0.00146,Agressive,Agressive
4,0.25,3.44,4.17,2.04,0.0104,Agressive,Agressive
4.15,0.241,3.46,3.97,2.03,0.0242,Agressive,Agressive
4.24,0.236,3.5,4,2.09,0.0278,Agressive,Agressive
4.23,0.237,3.48,4.01,2.14,0.0299,Agressive,Agressive
4.22,0.237,3.33,4,2.1,0.0313,Agressive,Agressive
4.24,0.236,3.46,4.34,2.24,0.0274,Agressive,Agressive
4.22,0.237,3.44,4.73,2.34,0.0233,Agressive,Agressive
4.23,0.236,3.67,4.99,2.97,0.0207,Agressive,Agressive
4.62,0.217,5.19,5.62,3.7,0.0168,Agressive,Agressive
5.97,0.168,5.8,8.66,3.75,0.00704,Agressive,Agressive
7.31,0.137,5.87,10.2,3.75,0.00369,Agressive,Agressive
7.86,0.127,5.87,10.7,3.74,0.00274,Agressive,Agressive
7.97,0.125,5.87,10.8,3.73,0.00228,Agressive,Agressive
8.02,0.125,5.86,10.9,3.71,0.00211,Agressive,Agressive
8.04,0.124,5.86,10.9,3.66,0.00209,Agressive,Agressive
8.05,0.124,5.84,10.9,3.65,0.00207,Agressive,Agressive
8.05,0.124,5.83,10.9,3.6,0.00209,Agressive,Agressive
8.05,0.124,5.82,10.9,3.49,0.0021,Agressive,Agressive
8.05,0.124,5.73,10.9,3.09,0.00209,Agressive,Agressive
8.04,0.124,4.98,10.9,1.06,0.00205,Agressive,Agressive
7.79,0.128,3.07,10.8,1.13,0.00186,Agressive,Agressive
7.13,0.14,2.02,10.2,1.35,0.000647,Agressive,Agressive
6.25,0.16,2.27,9.31,1.93,0.000142,Agressive,Agressive
5.27,0.19,2.57,8.53,2.49,0.00236,Agressive,Agressive
4.8,0.208,2.66,7.79,2.6,0.00539,Agressive,Agressive
4.02,0.249,3.63,7.22,2.72,0.0167,Agressive,Agressive
3.74,0.267,3.9,6.88,2.76,0.0239,Agressive,Agressive
3.49,0.286,4.05,6.56,2.87,0.0212,Agressive,Agressive
3.39,0.295,4.1,6.38,2.9,0.0203,Agressive,Agressive
3.4,0.294,4.1,6.3,2.85,0.0225,Agressive,Agressive
3.65,0.274,4.13,6.25,2.85,0.0137,Agressive,Agressive
3.79,0.264,4.23,6.18,2.92,0.00907,Agressive,Agressive
3.84,0.26,4.23,6.14,2.95,0.0102,Agressive,Agressive
3.83,0.261,4.24,6.14,2.86,0.00693,Agressive,Agressive
3.77,0.265,4.24,6.14,2.54,-0.00193,Agressive,Agressive
3.65,0.274,4.19,6.14,2.59,-0.0139,Agressive,Agressive
3.56,0.281,3.66,6.08,2.56,-0.0245,Agressive,Agressive
3.54,0.282,3.5,5.72,2.53,-0.0238,Agressive,Agressive
3.46,0.289,3.32,4.92,2.4,-0.0133,Agressive,Agressive
3.47,0.289,3.34,4.15,2.42,-0.012,Agressive,Agressive
3.31,0.302,3.36,3.78,2.49,-0.00712,Agressive,Agressive
3.18,0.314,3.2,3.55,2.47,0.013,Agressive,Agressive
3.09,0.323,2.92,3.57,2.3,0.0334,Agressive,Agressive
3.07,0.326,2.88,3.48,2.21,0.0405,Agressive,Agressive
3.08,0.324,2.68,3.38,2.19,0.029,Agressive,Agressive
3.14,0.318,2.73,3.33,2.13,0.0156,Agressive,Agressive
3.08,0.324,2.81,3,1.98,0.00779,Agressive,Agressive
3.01,0.332,2.9,2.96,1.98,0.0141,Agressive,Agressive
