alpha,arousal1,betha,arousal2,theta,gamma,valence1,'Stimuli (Audio)',Response
3.1,0.323,3.98,1.29,4.74,2.67,-0.0379,Agressive,Agressive
3.05,0.328,4.13,1.35,5.1,2.78,-0.0445,Agressive,Agressive
3.07,0.325,4.16,1.35,5.12,2.8,-0.0531,Agressive,Agressive
3.17,0.316,4.2,1.33,5.12,2.84,-0.0522,Agressive,Agressive
3.12,0.32,4.17,1.34,5.11,2.95,-0.0543,Agressive,Agressive
3.09,0.323,4.05,1.31,5,2.97,-0.05,Agressive,Agressive
3.12,0.321,4.03,1.29,4.98,2.88,-0.0472,Agressive,Agressive
3.18,0.315,3.8,1.2,5.03,2.75,-0.0516,Agressive,Agressive
3.1,0.322,3.67,1.18,5.07,2.55,-0.053,Agressive,Agressive
2.92,0.343,3.58,1.23,5.08,2.51,-0.0537,Agressive,Agressive
2.76,0.363,3.62,1.31,5.04,2.58,-0.0814,Agressive,Agressive
2.67,0.374,3.46,1.29,4.66,2.49,-0.124,Agressive,Agressive
2.7,0.37,3.24,1.2,4.11,2.39,-0.0922,Agressive,Agressive
2.66,0.375,3.16,1.19,4.07,2.38,-0.0563,Agressive,Agressive
2.74,0.365,3.14,1.15,4.03,2.39,-0.0211,Agressive,Agressive
2.84,0.352,3.22,1.13,3.93,2.18,-0.0103,Agressive,Agressive
2.75,0.363,3.17,1.15,3.88,2.12,-0.00737,Agressive,Agressive
2.6,0.384,3.18,1.22,3.67,2.2,0.00538,Agressive,Agressive
2.59,0.386,3.19,1.23,3.41,2.26,0.0273,Agressive,Agressive
2.66,0.376,3.31,1.24,3.11,2.35,0.0504,Agressive,Agressive
2.88,0.348,3.06,1.07,3.07,2.34,0.061,Agressive,Agressive
2.93,0.341,2.9,0.99,3.12,2.23,0.0765,Agressive,Agressive
2.9,0.344,3.01,1.04,2.96,2.23,0.0895,Agressive,Agressive
2.85,0.351,3.3,1.16,2.74,2.3,0.0873,Agressive,Agressive
2.79,0.359,3.4,1.22,2.99,2.27,0.0611,Agressive,Agressive
2.74,0.365,3.4,1.24,3.05,2.13,0.0285,Agressive,Agressive
2.86,0.35,3.4,1.19,3.12,2.11,0.0273,Agressive,Agressive
2.94,0.34,3.37,1.15,3.27,1.97,0.0267,Agressive,Agressive
2.94,0.34,3.41,1.16,3.32,1.9,0.0305,Agressive,Agressive
2.96,0.338,3.39,1.14,3.49,1.87,0.0243,Agressive,Agressive
3.02,0.331,3.43,1.14,3.81,1.9,0.00783,Agressive,Agressive
3.15,0.318,3.5,1.11,3.85,2.09,0.00756,Agressive,Agressive
3.31,0.302,3.47,1.05,3.84,2.09,0.0085,Agressive,Agressive
3.34,0.299,3.21,0.961,3.86,1.98,0.00828,Agressive,Agressive
3.42,0.293,3.15,0.921,3.79,1.94,-0.00214,Agressive,Agressive
3.48,0.288,3.03,0.87,3.74,1.89,-0.00503,Agressive,Agressive
3.43,0.292,3.08,0.9,3.79,1.88,-0.00484,Agressive,Agressive
3.37,0.297,3.1,0.92,3.87,1.94,-0.00833,Agressive,Agressive
3.33,0.3,3.11,0.933,3.88,1.95,-0.00779,Agressive,Agressive
3.34,0.299,3.26,0.974,3.83,1.96,-0.00799,Agressive,Agressive
3.27,0.306,3.46,1.06,3.66,1.96,-0.0096,Agressive,Agressive
3.14,0.319,3.41,1.09,3.45,1.87,-0.0169,Agressive,Agressive
2.85,0.35,3.4,1.19,3.57,1.64,-0.0519,Agressive,Agressive
2.66,0.375,3.4,1.28,3.84,1.63,-0.119,Agressive,Agressive
2.67,0.374,3.4,1.27,3.9,1.63,-0.125,Agressive,Agressive
2.51,0.398,3.31,1.32,3.94,1.73,-0.128,Agressive,Agressive
2.25,0.445,3.29,1.46,4.09,1.91,-0.143,Agressive,Agressive
2.14,0.468,3.29,1.54,4.19,1.96,-0.118,Agressive,Agressive
2.15,0.465,3.39,1.58,4.16,1.95,-0.107,Agressive,Agressive
2.2,0.454,3.42,1.55,4.15,1.95,-0.0892,Agressive,Agressive
2.31,0.432,3.1,1.34,4.14,1.87,-0.0656,Agressive,Agressive
2.64,0.379,2.96,1.12,4.25,1.87,-0.0568,Agressive,Agressive
2.85,0.35,2.95,1.03,4.34,1.9,-0.0554,Agressive,Agressive
3.05,0.328,2.79,0.915,4.28,1.92,-0.0448,Agressive,Agressive
3.16,0.317,2.78,0.879,4.1,2.02,-0.0234,Agressive,Agressive
3.18,0.314,3.01,0.946,4.08,1.92,-0.00971,Agressive,Agressive
3.24,0.309,3.05,0.942,4.16,1.96,-0.0118,Agressive,Agressive
3.41,0.293,3.01,0.882,4.11,1.99,-0.0151,Agressive,Agressive
3.5,0.286,2.96,0.847,3.95,1.96,-0.0135,Agressive,Agressive
3.52,0.284,2.8,0.797,3.89,1.99,-0.012,Agressive,Agressive
3.5,0.286,2.76,0.788,4.11,2.01,-0.0163,Agressive,Agressive
3.46,0.289,2.67,0.772,4.26,2.03,-0.0167,Agressive,Agressive
3.28,0.305,3.11,0.949,4.15,2,-0.0102,Agressive,Agressive
3.12,0.321,3.25,1.04,4.17,2.05,-0.000266,Agressive,Agressive
3.41,0.293,3.3,0.969,4.39,2.11,-0.0044,Agressive,Agressive
3.68,0.271,3.34,0.907,4.5,2.18,-0.0166,Agressive,Agressive
3.74,0.267,3.23,0.863,4.46,2.16,-0.0225,Agressive,Agressive
3.65,0.274,3.21,0.881,4.4,2.35,-0.0203,Agressive,Agressive
3.53,0.283,3.23,0.915,4.39,2.47,-0.0251,Agressive,Agressive
3.55,0.282,3.35,0.943,4.38,2.5,-0.0311,Agressive,Agressive
3.6,0.278,3.4,0.943,4.27,2.56,-0.0305,Agressive,Agressive
3.63,0.276,3.43,0.947,4.08,2.56,-0.0305,Agressive,Agressive
3.65,0.274,3.54,0.969,3.99,2.69,-0.0299,Agressive,Agressive
