alpha,arousal1,betha,theta,gamma,valence1,Stimuli(Visual),Response
2.64,0.379,3.69,3.83,2.28,-0.0461,Happy,Happy
2.79,0.359,3.61,3.96,2.22,-0.0568,Happy,Happy
3.17,0.315,3.57,4.09,1.89,-0.0541,Happy,Happy
3.4,0.294,3.48,3.98,1.91,-0.0366,Happy,Happy
3.38,0.296,3.43,3.8,1.98,-0.0255,Happy,Happy
3.41,0.294,3.6,3.7,1.98,-0.0212,Happy,Happy
3.47,0.288,3.68,3.76,1.87,-0.0241,Happy,Happy
3.5,0.285,3.59,4.01,1.89,-0.0214,Happy,Happy
3.6,0.278,3.62,4.13,1.81,-0.0179,Happy,Happy
3.73,0.268,3.58,4.08,1.78,-0.0214,Happy,Happy
3.74,0.267,3.69,4.13,1.7,-0.0254,Happy,Happy
3.74,0.267,3.68,4.15,1.77,-0.0313,Happy,Happy
3.78,0.265,3.78,4.17,1.95,-0.0355,Happy,Happy
3.63,0.275,3.81,4.34,2.17,-0.0405,Happy,Happy
3.48,0.288,3.95,4.53,2.15,-0.0559,Happy,Happy
3.44,0.291,3.95,4.62,2.1,-0.066,Happy,Happy
3.39,0.295,3.9,4.66,2.12,-0.0669,Happy,Happy
3.31,0.302,3.85,4.65,2.23,-0.0694,Happy,Happy
3.39,0.295,4.32,4.71,2.89,-0.0675,Happy,Happy
3.7,0.27,4.6,5.18,2.97,-0.0424,Happy,Happy
3.82,0.262,4.83,5.72,3.44,-0.0304,Happy,Happy
3.91,0.256,4.99,5.99,3.56,-0.0253,Happy,Happy
4.07,0.245,4.98,6,3.62,-0.0113,Happy,Happy
4.2,0.238,4.98,6.03,3.78,-0.00465,Happy,Happy
4.27,0.234,4.98,6.05,3.77,-0.00531,Happy,Happy
4.36,0.229,4.99,6.05,3.77,-0.00531,Happy,Happy
4.42,0.226,4.98,6.11,3.76,-0.00507,Happy,Happy
4.43,0.226,5,6.24,3.79,-0.00517,Happy,Happy
4.43,0.226,5,6.35,3.75,-0.00466,Happy,Happy
4.35,0.23,4.61,6.33,3.51,-0.00303,Happy,Happy
4.16,0.24,4.56,6.13,3.52,-0.00155,Happy,Happy
4.06,0.246,4.04,5.82,3.03,-0.00162,Happy,Happy
3.92,0.255,3.72,5.67,2.9,-0.00339,Happy,Happy
3.64,0.275,3.71,5.65,2.67,-0.00654,Happy,Happy
3.3,0.303,3.93,5.54,2.21,-0.00145,Happy,Happy
3.32,0.301,3.83,5.5,2.24,-0.00264,Happy,Happy
3.36,0.298,3.75,5.45,2.25,-0.0105,Happy,Happy
3.38,0.296,3.81,5.27,2.29,-0.0117,Happy,Happy
3.44,0.291,3.87,4.84,2.23,-0.0115,Happy,Happy
3.5,0.285,3.86,4.12,2.33,-0.016,Happy,Happy
3.52,0.284,3.84,3.68,2.31,-0.0243,Happy,Happy
3.52,0.284,3.94,3.76,2.34,-0.0308,Happy,Happy
3.49,0.286,3.95,3.53,2.37,-0.0315,Happy,Happy
3.58,0.279,3.95,3.26,2.29,-0.0291,Happy,Happy
3.68,0.272,3.9,3.45,2.29,-0.0274,Happy,Happy
3.67,0.272,3.73,3.7,2.16,-0.0317,Happy,Happy
3.52,0.284,3.74,3.81,2.26,-0.0353,Happy,Happy
3.32,0.301,3.73,3.93,2.37,-0.0441,Happy,Happy
3.27,0.306,3.63,3.96,2.39,-0.0585,Happy,Happy
3.34,0.299,3.49,3.93,2.42,-0.0616,Happy,Happy
3.28,0.305,3.5,3.98,2.39,-0.0568,Happy,Happy
3.15,0.317,3.51,3.96,2.4,-0.0609,Happy,Happy
3.15,0.318,3.26,3.95,2.35,-0.0648,Happy,Happy
3.1,0.322,3.31,4.01,2.32,-0.0658,Happy,Happy
2.98,0.335,3.42,3.97,2.3,-0.0721,Happy,Happy
2.79,0.358,3.46,3.77,2.33,-0.0864,Happy,Happy
2.83,0.353,3.36,3.54,2.34,-0.0747,Happy,Happy
2.89,0.346,3.41,3.3,2.33,-0.0683,Happy,Happy
2.78,0.36,3.34,3.16,2.23,-0.0633,Happy,Happy
2.62,0.382,3.37,3.17,2.12,-0.0448,Happy,Happy
2.59,0.385,3.4,3.06,2.12,-0.0477,Happy,Happy
2.63,0.381,3.34,2.93,1.99,-0.0528,Happy,Happy
2.57,0.39,3.29,2.88,2.02,-0.04,Happy,Happy
2.54,0.394,3.41,3,2.19,-0.0493,Happy,Happy
2.64,0.379,3.3,3.02,2.21,-0.0298,Happy,Happy
2.88,0.347,3.26,2.96,2.22,-0.0253,Happy,Happy
2.93,0.341,3.14,3.12,2.21,-0.0243,Happy,Happy
2.88,0.348,2.96,3.27,2.27,-0.0235,Happy,Happy
2.85,0.351,3.04,3.42,2.28,-0.00983,Happy,Happy
2.94,0.34,2.94,3.54,2.25,0.00603,Happy,Happy
2.91,0.343,2.84,3.5,2.23,0.0125,Happy,Happy
2.88,0.348,2.93,3.53,2.26,0.0328,Happy,Happy
2.88,0.347,3.03,3.62,2.28,0.0357,Happy,Happy
2.84,0.352,3.14,3.6,2.15,0.0424,Happy,Happy
2.81,0.356,3.02,3.73,2.08,0.0479,Happy,Happy
2.7,0.37,3.03,4.06,2.16,0.0579,Happy,Happy
2.73,0.366,3.34,4.42,2.15,0.0446,Happy,Happy
2.98,0.335,3.53,4.6,2.25,0.026,Happy,Happy
3.11,0.321,3.64,4.61,2.23,0.019,Happy,Happy
3.07,0.326,3.62,4.55,2.15,0.0071,Happy,Happy
3.02,0.331,3.76,4.53,2.12,0.00342,Happy,Happy
3.11,0.322,3.79,4.62,2.18,0.00723,Happy,Happy
3.37,0.297,3.75,4.76,2.15,0.00746,Happy,Happy
3.55,0.281,3.72,4.78,2.19,0.000404,Happy,Happy
3.7,0.27,3.71,4.77,2.2,-0.00495,Happy,Happy
3.84,0.26,3.75,4.7,2.26,-0.00703,Happy,Happy
3.88,0.257,3.74,4.62,2.31,-0.00534,Happy,Happy
3.83,0.261,3.56,4.38,2.31,-0.00213,Happy,Happy
3.81,0.262,3.3,4.19,2.17,0.000435,Happy,Happy
3.92,0.255,3.47,4.29,2.17,-0.00674,Happy,Happy
4.04,0.247,3.42,4.46,2.16,-0.0123,Happy,Happy
4.07,0.246,3.34,4.54,2.16,-0.0145,Happy,Happy
4.05,0.247,3.29,4.42,2.08,-0.0209,Happy,Happy
4,0.25,3.22,4.23,2.09,-0.0274,Happy,Happy
3.98,0.251,3.32,4.21,2.14,-0.0259,Happy,Happy
3.88,0.258,3.35,4.25,2.14,-0.0243,Happy,Happy
3.88,0.258,3.37,4.23,2.11,-0.0235,Happy,Happy
3.88,0.258,3.44,4.13,2,-0.0249,Happy,Happy
3.84,0.261,3.56,4.11,2.21,-0.0297,Happy,Happy
3.76,0.266,3.55,4.03,2.18,-0.0306,Happy,Happy
3.57,0.28,3.37,3.69,2.16,-0.0294,Happy,Happy
3.47,0.288,3.54,3.41,2.15,-0.0247,Happy,Happy
3.33,0.3,3.64,3.26,2.21,-0.028,Happy,Happy
3.24,0.309,3.72,3.27,2.32,-0.0155,Happy,Happy
3.1,0.322,3.83,3.33,2.21,0.00226,Happy,Happy
3.04,0.329,3.84,3.33,2.13,0.00006,Happy,Happy
3.86,0.259,3.71,3.17,2.72,-0.0879,Calm,Agressive
3.89,0.257,3.72,3.42,2.69,-0.108,Calm,Agressive
3.95,0.253,3.79,3.6,2.67,-0.11,Calm,Agressive
4.17,0.24,3.96,3.78,2.73,-0.0976,Calm,Agressive
4.33,0.231,3.93,3.94,2.49,-0.0926,Calm,Agressive
