lowlevel.average_loudness,lowlevel.barkbands.mean.0,lowlevel.barkbands.mean.1,lowlevel.barkbands.mean.10,lowlevel.barkbands.mean.11,lowlevel.barkbands.mean.12,lowlevel.barkbands.mean.13,lowlevel.barkbands.mean.14,lowlevel.barkbands.mean.15,lowlevel.barkbands.mean.16
0.990684032,0.0000393,0.000845931,0.0000626,0.000228433,0.000596075,0.00024775,0.000333715,0.001593129,0.000112027
0.990684032,0.0000352,0.000810634,0.000053,0.000105902,0.000503318,0.000164868,0.000324493,0.001573983,0.000113822
0.990684032,0.0000393,0.001026627,0.0000814,0.000234681,0.000669808,0.000299277,0.000419591,0.002130125,0.00015013
0.990684032,0.0000322,0.000858205,0.0000763,0.000219324,0.000671449,0.000257979,0.000401363,0.001966729,0.000137751
0.990684032,0.0000269,0.00073564,0.0000683,0.000190734,0.000647067,0.000226901,0.000363196,0.001802831,0.000125914
0.990684032,0.0000419,0.001138321,0.000103737,0.000192902,0.000614457,0.000272823,0.000330972,0.001652641,0.000143178
0.990684032,0.0000608,0.002427444,0.000222986,0.00035933,0.001200554,0.000811463,0.000584807,0.002255362,0.000314206
0.990684032,0.0000539,0.002247439,0.000213631,0.000313038,0.001025056,0.000760059,0.000523967,0.001747783,0.000296528
0.990684032,0.0000526,0.002306514,0.000233643,0.000744017,0.001204443,0.000812029,0.000486859,0.001606373,0.00032389
0.990684032,0.0000539,0.002391651,0.000246317,0.001310494,0.001418539,0.000912242,0.000429528,0.001609454,0.000326157
0.990684032,0.000055,0.003048486,0.000215976,0.001315994,0.001339936,0.000888715,0.000376328,0.001605929,0.000326686
0.990684032,0.0000785,0.00383549,0.00028581,0.002071711,0.00218181,0.001353718,0.000640623,0.002488974,0.000427085
0.990684032,0.0000775,0.003710952,0.000266438,0.002104552,0.002333502,0.001364512,0.000873903,0.003483295,0.000438149
0.990684032,0.0000708,0.003583045,0.000261551,0.001822515,0.002274597,0.001102637,0.000991338,0.003871001,0.000433444
0.990684032,0.0000698,0.003710447,0.000246177,0.001724687,0.001876749,0.001044136,0.000868679,0.003455949,0.000389193
0.990684032,0.0000681,0.003745546,0.000238078,0.001698432,0.001795636,0.001016869,0.000895934,0.003178082,0.00036826
0.990684032,0.0000674,0.003354442,0.000116461,0.001698388,0.001787683,0.000453469,0.001120865,0.003408459,0.00028478
0.990684032,0.0000737,0.003254763,0.0000998,0.00177514,0.002017072,0.00037423,0.001241389,0.003812029,0.000270905
0.990684032,0.0000774,0.003357632,0.000112046,0.001851937,0.002127443,0.000384669,0.001344453,0.003906105,0.000274023
0.990684032,0.0000965,0.004458145,0.000150043,0.001108935,0.001893356,0.000315057,0.001582969,0.004030296,0.000262995
0.990684032,0.000121562,0.005181153,0.000164688,0.000413753,0.001542491,0.0002582,0.001839121,0.004124504,0.000279195
0.990684032,0.00010735,0.005194496,0.00016564,0.000529231,0.001321433,0.000217699,0.001830293,0.00360949,0.00018146
0.990684032,0.000103793,0.005505434,0.000169797,0.000524278,0.001137372,0.000208719,0.001584448,0.002661271,0.000161645
0.990684032,0.000116436,0.006229157,0.000196404,0.000594608,0.001174366,0.000219439,0.001529454,0.002064384,0.000173581
0.990684032,0.000139342,0.007146012,0.000195887,0.000811061,0.001362294,0.000279415,0.002840427,0.001811978,0.000332816
0.990684032,0.000132497,0.00668856,0.000179234,0.000825855,0.001303051,0.000240923,0.002999666,0.001702246,0.000396916
0.990684032,0.000135544,0.005488346,0.000153397,0.001682411,0.000995105,0.000192822,0.003342578,0.001344059,0.000469545
0.990684032,0.000094,0.004726981,0.000136264,0.001533558,0.000686817,0.000140316,0.003105124,0.000841329,0.00045064
0.990684032,0.0000747,0.004577814,0.000134886,0.001591787,0.000553577,0.000136651,0.003319656,0.000655987,0.000498294
0.990684032,0.0000521,0.002811768,0.0000754,0.001050512,0.000236706,0.000187934,0.002093083,0.000697532,0.000452734
0.990684032,0.0000508,0.00219525,0.0000467,0.001046401,0.000205517,0.000206991,0.00198226,0.000583702,0.000446777
0.990684032,0.0000576,0.002372556,0.0000398,0.001434737,0.000133421,0.000220026,0.001870664,0.000516917,0.000482805
0.990684032,0.0000535,0.00218196,0.0000288,0.001545909,0.00012582,0.000227162,0.001945926,0.000513734,0.000529519
0.990684032,0.0000474,0.001707559,0.0000188,0.001408102,0.000110648,0.000206559,0.001859163,0.000469794,0.000520369
0.990684032,0.0000447,0.001613594,0.0000281,0.001439785,0.000111325,0.00023104,0.001781664,0.000527449,0.00058171
