tonal.chords_changes_rate,tonal.chords_histogram.0,tonal.chords_histogram.1,tonal.chords_histogram.10,tonal.chords_histogram.11,tonal.chords_histogram.12,tonal.chords_histogram.13,tonal.chords_histogram.14,tonal.chords_histogram.15,tonal.chords_histogram.16,tonal.chords_histogram.17,tonal.chords_histogram.18,tonal.chords_histogram.19,tonal.chords_histogram.2,tonal.chords_histogram.20,tonal.chords_histogram.21,tonal.chords_histogram.22,tonal.chords_histogram.23,tonal.chords_histogram.3,tonal.chords_histogram.4,tonal.chords_histogram.5,tonal.chords_histogram.6,tonal.chords_histogram.7,tonal.chords_histogram.8,tonal.chords_histogram.9,tonal.chords_key,tonal.chords_number_rate,tonal.chords_scale,tonal.chords_strength.mean,tonal.hpcp.mean.0,tonal.hpcp.mean.1,tonal.hpcp.mean.10,tonal.hpcp.mean.11,tonal.hpcp.mean.12,tonal.hpcp.mean.13,tonal.hpcp.mean.14,tonal.hpcp.mean.15,tonal.hpcp.mean.16,tonal.hpcp.mean.17,tonal.hpcp.mean.18,tonal.hpcp.mean.19,tonal.hpcp.mean.2,tonal.hpcp.mean.20,tonal.hpcp.mean.21,tonal.hpcp.mean.22,tonal.hpcp.mean.23,tonal.hpcp.mean.24,tonal.hpcp.mean.25,tonal.hpcp.mean.26,tonal.hpcp.mean.27,tonal.hpcp.mean.28,tonal.hpcp.mean.29,tonal.hpcp.mean.3,tonal.hpcp.mean.30,tonal.hpcp.mean.31,tonal.hpcp.mean.32,tonal.hpcp.mean.33,tonal.hpcp.mean.34,tonal.hpcp.mean.35,tonal.hpcp.mean.4,tonal.hpcp.mean.5,tonal.hpcp.mean.6,tonal.hpcp.mean.7,tonal.hpcp.mean.8,tonal.hpcp.mean.9,tonal.hpcp_entropy.mean,tonal.key_key,tonal.key_scale,tonal.key_strength,tonal.thpcp.0,tonal.thpcp.1,tonal.thpcp.10,tonal.thpcp.11,tonal.thpcp.12,tonal.thpcp.13,tonal.thpcp.14,tonal.thpcp.15,tonal.thpcp.16,tonal.thpcp.17,tonal.thpcp.18,tonal.thpcp.19,tonal.thpcp.2,tonal.thpcp.20,tonal.thpcp.21,tonal.thpcp.22,tonal.thpcp.23,tonal.thpcp.24,tonal.thpcp.25,tonal.thpcp.26,tonal.thpcp.27,tonal.thpcp.28,tonal.thpcp.29,tonal.thpcp.3,tonal.thpcp.30,tonal.thpcp.31,tonal.thpcp.32,tonal.thpcp.33,tonal.thpcp.34,tonal.thpcp.35,tonal.thpcp.4,tonal.thpcp.5,tonal.thpcp.6,tonal.thpcp.7,tonal.thpcp.8,tonal.thpcp.9,tonal.tuning_diatonic_strength,tonal.tuning_equal_tempered_deviation,tonal.tuning_frequency,tonal.tuning_nontempered_energy_ratio
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.043478262,1,0.704500198,0.297553033,0.058722313,0.463822663,0.610760093,0.288198501,0.103866585,0.11928574,0.081301607,0.026760943,0.018529808,0.043329015,0.246236652,0.02911067,0.530795038,0.387918472,0.123478256,0.071855932,0.028861111,0.062492106,0.194169402,0.220477641,0.109649844,0.0896172,0.021109467,0.093736961,0.119098566,0.182040021,0.209064856,0.45339331,0.595889032,0.038785651,0.091342032,0.078632258,0.049016982,0.074432038,0.138735026,1.936785698,12,1,0.747012317,1,0.471868575,0.635140479,0.20217146,0.11765001,0.047254417,0.102318577,0.317914367,0.360988945,0.179530144,0.146730602,0.15347591,0.170061186,0.195000574,0.298054874,0.34230274,0.74234271,0.975651562,0.487184793,0.096146286,0.047663018,0.034562618,0.063503906,0.195307031,0.149554685,0.128744915,0.080255702,0.12186788,0.227151424,0.759418726,0.133115456,0.043815803,0.03033893,0.070942774,0.403164268,0.869072914,0.606923342,0.330506235,448.9859314,0.99401778
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.043478262,1,0.72237879,0.295370281,0.052909508,0.39281562,0.550021172,0.26470086,0.101500541,0.119894378,0.079066403,0.024560843,0.016193006,0.056067105,0.279316038,0.02551898,0.542096674,0.380203336,0.120150015,0.063098915,0.023113064,0.059893422,0.189983323,0.221640438,0.118885323,0.076445252,0.019541934,0.068518773,0.094715595,0.134112507,0.151430383,0.398550689,0.570634484,0.040636286,0.092194177,0.074352257,0.031011336,0.029598884,0.079110034,1.780519724,12,1,0.781812191,1,0.517617285,0.138635218,0.688383937,0.963876486,0.463871121,0.177873135,0.210107133,0.13855876,0.043041289,0.028377196,0.098253973,0.092720486,0.489483267,0.949989319,0.66628176,0.210555121,0.110576764,0.04050415,0.104959346,0.332933486,0.388410509,0.208338842,0.044720359,0.133965358,0.120074712,0.165982947,0.235023484,0.265371948,0.698434293,0.034245975,0.071212463,0.161564335,0.130297512,0.054345358,0.05187013,0.648384392,0.338051498,448.7266541,0.99409163
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.043478262,1,0.713378847,0.25954631,0.046894722,0.3611691,0.540991724,0.27844581,0.105387688,0.117536232,0.07996124,0.026066821,0.016419908,0.039117496,0.253160506,0.024038963,0.560051441,0.409555852,0.117564999,0.060571242,0.027593123,0.063309409,0.190135196,0.219793886,0.116806291,0.070462942,0.022007545,0.056454167,0.089141391,0.151408821,0.174280688,0.367631614,0.50241071,0.051201638,0.103792429,0.079519548,0.030204596,0.028114665,0.064055569,1.679145336,12,1,0.793498218,1,0.731282532,0.100801751,0.15916644,0.270348072,0.311186939,0.656424701,0.897079587,0.463432968,0.083732881,0.042922776,0.03929558,0.209918216,0.091423102,0.185326606,0.141986147,0.053931825,0.050200149,0.114374436,0.6448856,0.965967894,0.497179002,0.188175008,0.108153,0.209866852,0.14277482,0.046543621,0.029318571,0.069846258,0.452030808,0.049268909,0.113042131,0.339495957,0.392453045,0.208563507,0.125815123,0.651140273,0.334712684,448.7266541,0.992929578
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.043478262,1,0.69684875,0.281010807,0.05235434,0.349658251,0.528404713,0.270032585,0.112727188,0.126061052,0.080337316,0.028094729,0.018027138,0.037253313,0.249248698,0.025680272,0.545304775,0.401544988,0.11749427,0.056091722,0.035632201,0.076233126,0.192978114,0.216797397,0.117244117,0.081225552,0.017686637,0.076891586,0.091691449,0.116079144,0.147422329,0.392551839,0.545317233,0.033841498,0.077514999,0.063448898,0.027642395,0.028056733,0.057047006,1.681526303,12,1,0.782027304,1,0.515316188,0.104612514,0.641201556,0.968985915,0.495184392,0.206718549,0.231170118,0.147322163,0.051519975,0.033058073,0.06831494,0.096007124,0.457071006,0.999977171,0.736351192,0.215460405,0.102860719,0.065342151,0.139795929,0.353882283,0.397561967,0.215001673,0.047092352,0.148951009,0.1410034,0.168143317,0.212865353,0.27034232,0.7198596,0.032433666,0.062058371,0.142146617,0.116352268,0.050690487,0.051450297,0.644495785,0.334116876,448.4675598,0.992404819
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.043478262,1,0.702750266,0.330335885,0.090664916,0.373220623,0.543140769,0.246441692,0.086225584,0.11091391,0.074104331,0.024790246,0.017260697,0.042572085,0.217208579,0.033894401,0.464090765,0.346073121,0.08845783,0.035301957,0.017925091,0.048717853,0.180165961,0.216664702,0.116704457,0.068910182,0.017493153,0.051833063,0.064372733,0.098536648,0.140028477,0.355652571,0.530566156,0.024658369,0.060651816,0.054656371,0.0266675,0.026957881,0.05775528,1.618790507,12,1,0.745201826,1,0.453734487,0.637170196,0.162863538,0.064995959,0.033002663,0.089696549,0.331711352,0.398910761,0.214869633,0.126873523,0.095432095,0.158753663,0.118519425,0.181420088,0.2578125,0.654807329,0.976848364,0.608195722,0.166927099,0.06240445,0.032207403,0.045399591,0.204208404,0.111668684,0.100630216,0.049098689,0.04963332,0.106335752,0.687152684,0.136436701,0.045642395,0.031779416,0.078381307,0.399912119,0.854457617,0.612436414,0.324868828,448.4675598,0.991263866
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.043478262,1,0.647130787,0.477655441,0.278412253,0.104442365,0.405480087,0.515966475,0.229162887,0.120527737,0.158307329,0.089204215,0.025445228,0.015661355,0.034986109,0.057990912,0.205824792,0.437136114,0.324452013,0.118150108,0.069297478,0.021050055,0.064574018,0.25685066,0.283482105,0.119650997,0.023957407,0.046413753,0.023243332,0.043443259,0.073292397,0.113179304,0.318949223,0.031497806,0.07581196,0.09688478,0.053763017,0.031703312,0.038552012,1.770489693,1,1,0.714526772,1,0.444142967,0.628823817,0.228987947,0.134306163,0.04079733,0.125151575,0.49780494,0.549419641,0.231896847,0.08995498,0.045048144,0.233596057,0.084197834,0.142048761,0.219353989,0.618158817,0.925749004,0.539593697,0.112392791,0.0464321,0.061046228,0.146931946,0.306817085,0.187773407,0.104198664,0.061444521,0.074718058,0.202420831,0.785865188,0.172887623,0.049315661,0.030353436,0.067806944,0.398911178,0.847218037,0.592131793,0.122795843,440,0.720314562
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.043478262,1,0.656521022,0.494313985,0.292076975,0.074948639,0.35451594,0.512518942,0.258746624,0.148570955,0.234006152,0.148409754,0.027526712,0.017316321,0.034586638,0.065342419,0.225269407,0.525895059,0.392851591,0.098202698,0.070312425,0.045578215,0.067981921,0.216373697,0.208222494,0.074228227,0.023737675,0.031467091,0.019229295,0.042699918,0.07050655,0.101936266,0.317634404,0.026949385,0.066963032,0.090767436,0.055011719,0.032677427,0.037736762,1.630235791,1,1,0.76288563,1,0.747015178,0.03656489,0.081194751,0.134069622,0.193833858,0.603988171,0.939947963,0.555390239,0.12424992,0.045137662,0.051244795,0.186734393,0.127331555,0.172596097,0.104605891,0.062136784,0.071757212,0.142516345,0.674119174,0.974565029,0.492011905,0.282510638,0.13370049,0.444967389,0.282204121,0.052342594,0.032927331,0.065767184,0.428354293,0.086667888,0.129268989,0.411438912,0.395939261,0.141146466,0.059835304,0.59518826,0.066199407,440,0.680258274
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.043478262,1,0.681575418,0.495871335,0.315854102,0.076863147,0.325140566,0.435400844,0.210767537,0.168830082,0.234668851,0.118475154,0.024187909,0.029622808,0.043718718,0.07551191,0.24298583,0.542179525,0.386980027,0.074853845,0.026642395,0.016374465,0.05166667,0.16282855,0.154367208,0.058738906,0.018962152,0.031340085,0.021220742,0.054100379,0.091831759,0.12261904,0.317903131,0.026188001,0.068500258,0.091394633,0.055847861,0.035185222,0.040465802,1.599726796,1,1,0.816108942,1,0.713748872,0.039139695,0.099783145,0.169375181,0.226159483,0.586342931,0.914588809,0.582563698,0.139274731,0.034973938,0.048301347,0.138061002,0.126342386,0.168568954,0.103006214,0.064895891,0.074635431,0.141766965,0.599691689,0.803056598,0.388741225,0.311391473,0.049139433,0.432824999,0.218516469,0.044612363,0.054636531,0.08063513,0.44816488,0.030201187,0.095294394,0.300322205,0.28471604,0.108338483,0.057803888,0.62680167,0.073311798,440.2542419,0.708822131
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.043478262,1,0.648943007,0.395998091,0.238016769,0.06853269,0.250508487,0.324766219,0.171552315,0.176858544,0.230646506,0.11564254,0.055940319,0.125117555,0.126669481,0.055078454,0.248865455,0.4954229,0.343265921,0.066898689,0.026108457,0.016274365,0.05229415,0.119742863,0.095308311,0.041417006,0.018249393,0.029952148,0.029744696,0.09569782,0.155494258,0.155725583,0.277536631,0.025665939,0.070725024,0.093713388,0.056711897,0.039867036,0.046906594,1.482147217,1,1,0.855004489,1,0.692874551,0.060039002,0.193163902,0.313861668,0.314328581,0.560201466,0.799313247,0.480431497,0.111174621,0.036835991,0.051806122,0.135033503,0.142756879,0.189158365,0.114471689,0.080470718,0.094679907,0.138331696,0.505645752,0.655533314,0.346274495,0.356985003,0.052699335,0.465554804,0.233421877,0.112914279,0.252546966,0.255679518,0.50232935,0.032849438,0.105554566,0.24169828,0.192377687,0.083599299,0.06045774,0.626971722,0.098247156,440.2542419,0.698650837
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.043478262,1,0.58000648,0.309597194,0.18731685,0.064621799,0.209385291,0.264451742,0.141886994,0.17988497,0.241565213,0.122180268,0.070354059,0.16550006,0.170280308,0.051997185,0.254430115,0.456261545,0.305026829,0.05848236,0.026079103,0.014956131,0.03936201,0.102160871,0.089500852,0.041503124,0.017796243,0.0312966,0.043634299,0.150809065,0.254609555,0.223093927,0.249527827,0.022270592,0.06626045,0.094114169,0.060206719,0.048944239,0.056972954,1.554357767,1,1,0.841460049,1,0.668535054,0.095634401,0.330532044,0.558034241,0.488960624,0.546896458,0.678552032,0.410547078,0.113963552,0.039004475,0.048811022,0.12817727,0.145224705,0.206272408,0.131956592,0.107272327,0.124869071,0.141633242,0.458915055,0.579605579,0.31097731,0.39425844,0.057158232,0.529444575,0.267785579,0.154196769,0.362730682,0.373207659,0.55764091,0.032779731,0.086270712,0.223908573,0.196161285,0.090963446,0.068593554,0.620187283,0.101805955,440.2542419,0.704739749
