lowlevel.mfcc.mean.1,lowlevel.mfcc.mean.10,lowlevel.mfcc.mean.11,lowlevel.mfcc.mean.12,lowlevel.mfcc.mean.2,lowlevel.mfcc.mean.3,lowlevel.mfcc.mean.4,lowlevel.mfcc.mean.5,lowlevel.mfcc.mean.6,lowlevel.mfcc.mean.7,lowlevel.mfcc.mean.8,lowlevel.mfcc.mean.9,lowlevel.spectral_centroid.mean,lowlevel.spectral_spread.mean,lowlevel.spectral_rolloff.mean,lowlevel.spectral_skewness.mean,lowlevel.spectral_flux.mean,lowlevel.spectral_kurtosis.mean,lowlevel.spectral_complexity.mean,lowlevel.spectral_contrast_coeffs.mean.0,lowlevel.spectral_contrast_coeffs.mean.1,lowlevel.spectral_contrast_coeffs.mean.2,lowlevel.spectral_contrast_coeffs.mean.3,lowlevel.spectral_contrast_coeffs.mean.4,lowlevel.spectral_contrast_coeffs.mean.5,lowlevel.spectral_contrast_valleys.mean.0,lowlevel.spectral_contrast_valleys.mean.1,lowlevel.spectral_contrast_valleys.mean.2,lowlevel.spectral_contrast_valleys.mean.3,lowlevel.spectral_contrast_valleys.mean.4,lowlevel.spectral_contrast_valleys.mean.5,lowlevel.dissonance.dmean
151.3,-2.38,1.52,-1.47,-51.83,22.03,-2.05,4.38,-14.27,-7.77,2.03,7.44,1486.5,3087746.75,1897.79,1.65,0.05,7.17,11.22,-0.68,-0.74,-0.73,-0.72,-0.77,-0.73,-8.44,-7.37,-8.13,-8.17,-8.49,-12.09,0.03
152.94,-1.43,0.74,-2.2,-51.74,22.63,-1.78,3.47,-13.97,-7.53,2.44,8.5,1444.73,3238567,1826.97,1.62,0.05,6.79,10.71,-0.68,-0.75,-0.73,-0.72,-0.76,-0.73,-8.52,-7.4,-8.25,-8.27,-8.66,-12.22,0.03
152.49,-1.89,1.26,-1.55,-55.11,22.08,-3.57,2.64,-14.46,-8.01,1.74,8.23,1460.17,3324169.25,1851.38,1.64,0.06,7.31,12.16,-0.67,-0.74,-0.72,-0.71,-0.75,-0.73,-8.45,-7.26,-8.05,-8.18,-8.5,-12.09,0.03
151.7,-3.16,1.73,-1.4,-57.42,21.76,-5.94,1.65,-14.68,-8.73,0.46,7.24,1493.72,2905466.5,1893.49,1.68,0.06,7.74,12.16,-0.66,-0.73,-0.72,-0.71,-0.75,-0.72,-8.52,-7.22,-7.96,-8.12,-8.44,-12.12,0.03
150.31,-4.79,1.98,-0.5,-57.94,21.99,-6.71,0.93,-16.54,-9.32,-0.73,5.99,1490.12,3215785.25,1902.1,1.68,0.06,7.68,12.16,-0.66,-0.72,-0.73,-0.7,-0.74,-0.72,-8.56,-7.24,-7.98,-8.16,-8.46,-12.05,0.03
153.55,-4.74,2.65,0.44,-56.45,23.58,-6.37,2.5,-15.97,-8.14,-0.43,5.62,1446.7,3195435.5,1839.89,1.64,0.06,7.16,12.87,-0.66,-0.72,-0.73,-0.7,-0.74,-0.72,-8.35,-7.12,-7.86,-8.1,-8.4,-11.99,0.03
156.86,-3.66,5.56,1.82,-55.03,25.2,-6.22,3.85,-16.22,-8.49,-2.71,4.48,1408.95,3281489.75,1742.75,1.67,0.08,7.41,15.93,-0.65,-0.7,-0.73,-0.69,-0.74,-0.71,-8.04,-6.83,-7.62,-7.9,-8.17,-11.78,0.03
155.86,-3.38,7.01,2.19,-56.37,24.39,-7.37,3.02,-16.39,-9.33,-2.52,3.94,1390.41,3265533.25,1767.16,1.6,0.07,6.61,14.96,-0.66,-0.69,-0.74,-0.69,-0.74,-0.71,-8.14,-6.95,-7.62,-7.9,-8.19,-11.8,0.03
158.38,-3.73,7.46,3.06,-56.77,23.25,-7.75,3.17,-16.05,-9.42,-4.07,1.45,1333.3,3272906.25,1694.9,1.65,0.08,7.07,15.29,-0.65,-0.68,-0.74,-0.69,-0.74,-0.71,-8.12,-6.9,-7.61,-7.82,-8.19,-11.82,0.03
163.21,-2.67,7.81,2.31,-56.05,23.54,-9.65,2.67,-16.32,-9.76,-5.13,0.55,1256.82,3185818.25,1588.67,1.75,0.08,8,15.58,-0.65,-0.68,-0.74,-0.68,-0.74,-0.71,-8.04,-6.82,-7.62,-7.86,-8.25,-11.89,0.03
164.18,-2.38,7.73,1.88,-52.74,24.71,-7.74,3.84,-13.86,-7.23,-3.99,-0.83,1263.41,2738071.75,1572.4,1.78,0.09,8.29,15.6,-0.65,-0.68,-0.73,-0.69,-0.74,-0.71,-7.88,-6.84,-7.57,-7.83,-8.23,-11.9,0.03
163.92,-3.31,8.36,3.54,-54.15,25.73,-7.48,5.77,-14.32,-8.19,-6.17,-1.48,1325.58,3180425.25,1643.22,1.68,0.1,7.27,17.78,-0.64,-0.67,-0.73,-0.68,-0.74,-0.7,-7.7,-6.64,-7.41,-7.61,-7.97,-11.66,0.04
160.6,-4.34,8.4,5.01,-56.47,26.83,-7.02,5.95,-16.1,-10.35,-7.03,-1.49,1396.41,3130279.75,1759.98,1.67,0.1,7.32,18.07,-0.63,-0.66,-0.73,-0.68,-0.73,-0.7,-7.78,-6.69,-7.46,-7.52,-7.9,-11.56,0.04
159.3,-5.72,7.82,5.69,-54.27,28.78,-6.67,5.78,-16.83,-10.91,-6.27,-1.77,1370.5,2644365.75,1758.54,1.73,0.1,8.38,18.02,-0.62,-0.64,-0.73,-0.68,-0.73,-0.7,-7.71,-6.73,-7.5,-7.51,-7.89,-11.57,0.03
162.94,-4.81,7.89,4.97,-52.49,29.89,-4.98,7.62,-15.87,-9.33,-4.45,-0.91,1306.13,3295610.75,1670.5,1.75,0.1,8.02,17.09,-0.62,-0.65,-0.73,-0.68,-0.73,-0.71,-7.67,-6.84,-7.58,-7.61,-8.02,-11.6,0.04
166.73,-4.1,7.54,4.69,-50.13,31.3,-3.54,9.77,-13.88,-9.11,-4.97,-0.21,1259.93,3445724.75,1570.97,1.64,0.1,6.72,17.02,-0.62,-0.65,-0.73,-0.68,-0.74,-0.71,-7.6,-6.82,-7.58,-7.55,-7.99,-11.56,0.04
163.44,-5.28,5.89,5.01,-50.05,31.97,-3.23,9.45,-13.63,-9.5,-4.58,1.11,1277.75,3160475,1594.41,1.76,0.1,8.09,16.64,-0.61,-0.64,-0.73,-0.68,-0.74,-0.71,-7.59,-6.91,-7.59,-7.58,-7.97,-11.55,0.03
160.97,-6.32,5.23,6.42,-51.37,32.32,-4.29,9.49,-14.15,-10.25,-4.26,2.01,1308.33,3248303,1633.65,1.7,0.1,7.61,16.89,-0.61,-0.64,-0.72,-0.67,-0.73,-0.7,-7.69,-6.87,-7.59,-7.58,-7.93,-11.47,0.03
160.67,-7.08,4.19,6.24,-49.63,33.18,-4.07,10.61,-13.19,-10.12,-5.7,1.26,1269.59,3095394.75,1564.27,1.66,0.1,7.17,17.49,-0.6,-0.63,-0.73,-0.68,-0.73,-0.7,-7.6,-6.86,-7.48,-7.52,-7.89,-11.43,0.04
159.55,-6.6,4.36,7.19,-46.69,35.94,-1.09,11.88,-11.81,-9.95,-4.59,3.31,1272.85,3055925.75,1562.35,1.7,0.11,7.67,17.84,-0.6,-0.63,-0.74,-0.68,-0.73,-0.7,-7.44,-6.84,-7.46,-7.5,-7.86,-11.38,0.03
160.55,-6.22,4.63,8.07,-43.16,39.41,1.26,13.6,-11.29,-8.25,-2.15,5.24,1285.41,2917567,1554.22,1.63,0.11,7.17,18.78,-0.61,-0.64,-0.74,-0.68,-0.74,-0.7,-7.28,-6.77,-7.44,-7.5,-7.76,-11.34,0.03
158.28,-5.43,4.25,7.82,-40.65,37.26,3.17,14.23,-10.17,-8.57,-1.55,6.3,1246.06,3540325,1523.12,1.61,0.1,6.43,18.29,-0.62,-0.65,-0.75,-0.69,-0.74,-0.71,-7.26,-6.79,-7.44,-7.56,-7.85,-11.26,0.03
160.35,-4.27,5.39,7.41,-35.41,34.67,5.02,15.49,-8.78,-7.1,-1.08,5.52,1159.81,3883380,1387.22,1.67,0.09,6.69,17.4,-0.62,-0.66,-0.75,-0.69,-0.75,-0.72,-7.3,-6.88,-7.55,-7.72,-7.98,-11.32,0.03
159.92,-2.78,6.99,6.23,-29.65,31.46,6.63,16.4,-7.15,-4.85,-1.06,4.97,1065.24,3588483.25,1269.98,1.69,0.09,6.06,17.22,-0.62,-0.66,-0.74,-0.7,-0.76,-0.72,-7.2,-6.89,-7.57,-7.78,-7.98,-11.28,0.03
157.33,-1.26,6.44,3.28,-29.94,29.94,7.3,15.75,-8.47,-6.03,-2.47,5.39,1092.35,3581751.75,1243.66,1.82,0.1,7.43,18.44,-0.61,-0.67,-0.74,-0.69,-0.75,-0.72,-7.16,-6.69,-7.49,-7.63,-7.87,-11.12,0.03
152.93,-0.74,7.28,3.34,-32.72,29.72,6.19,14.34,-10.22,-6.65,-3.48,5.47,1175.12,3650368.25,1365.68,1.64,0.1,5.74,17.93,-0.61,-0.67,-0.74,-0.69,-0.74,-0.72,-7.41,-6.73,-7.6,-7.75,-7.96,-11.19,0.03
150.21,-0.06,7.97,3.68,-32.23,28.4,7.22,15.15,-9.75,-6.53,-2.49,6.27,1220.22,3697237,1409.23,1.69,0.09,6.22,17.02,-0.63,-0.68,-0.73,-0.69,-0.74,-0.72,-7.4,-6.77,-7.72,-7.8,-7.98,-11.17,0.03
151.54,1.36,8.1,2.37,-31.19,30.84,8.08,14.48,-11.99,-5.31,-1.93,6.07,1166.78,3731170.25,1350.85,1.72,0.08,6.48,15.6,-0.63,-0.68,-0.73,-0.69,-0.74,-0.72,-7.49,-6.91,-7.92,-8,-8.19,-11.36,0.03
147.65,1.5,7.81,0.42,-31.4,30.01,9.39,14.43,-12.76,-5.4,-1.16,6.05,1248.04,3207427.25,1445.12,1.76,0.08,6.88,14.84,-0.62,-0.69,-0.73,-0.69,-0.75,-0.72,-7.67,-6.94,-8.01,-8.03,-8.21,-11.41,0.03
146.49,1.29,6.47,-2.65,-30.95,27.72,8.1,12.14,-13.44,-3.51,2.25,6.25,1265.18,3902981.75,1439.38,1.77,0.07,6.99,12.93,-0.63,-0.72,-0.72,-0.7,-0.74,-0.73,-7.91,-7.11,-8.17,-8.25,-8.43,-11.54,0.03
144.43,0.32,4.76,-5.99,-33,23.54,4.37,9.84,-14.78,-4.2,2.16,5.95,1241.09,3793851.75,1429.33,1.75,0.07,6.54,12.07,-0.61,-0.73,-0.71,-0.7,-0.74,-0.73,-8.24,-7.14,-8.22,-8.36,-8.52,-11.64,0.03
