lowlevel.spectral_flux.mean,lowlevel.spectral_kurtosis.mean,lowlevel.spectral_rms.mean,lowlevel.spectral_rolloff.mean,lowlevel.spectral_skewness.mean,lowlevel.spectral_spread.mean,lowlevel.spectral_decrease.mean,lowlevel.spectral_centroid.mean,lowlevel.spectral_complexity.mean,lowlevel.spectral_contrast_coeffs.mean.0,lowlevel.spectral_contrast_coeffs.mean.1,lowlevel.spectral_contrast_coeffs.mean.2,lowlevel.spectral_contrast_coeffs.mean.3,lowlevel.spectral_contrast_coeffs.mean.4,lowlevel.spectral_contrast_coeffs.mean.5,lowlevel.spectral_contrast_valleys.mean.0,lowlevel.spectral_contrast_valleys.mean.1,lowlevel.spectral_contrast_valleys.mean.2,lowlevel.spectral_contrast_valleys.mean.3,lowlevel.spectral_contrast_valleys.mean.4,lowlevel.spectral_contrast_valleys.mean.5,lowlevel.dissonance.mean
0.05,11.40,0.00,502.92,2.55,4293793.50,0.00,511.18,10.78,-0.54,-0.59,-0.69,-0.76,-0.78,-0.78,-8.46,-7.75,-8.87,-9.52,-9.22,-11.88,0.40
0.05,9.46,0.00,520.15,2.33,4310877.50,0.00,565.42,11.36,-0.52,-0.58,-0.69,-0.75,-0.77,-0.78,-8.26,-7.53,-8.48,-9.22,-8.82,-11.50,0.41
0.05,9.87,0.00,599.58,2.35,3899671.75,0.00,641.54,12.49,-0.52,-0.56,-0.67,-0.73,-0.75,-0.77,-8.13,-7.45,-8.34,-9.10,-8.73,-11.40,0.41
0.06,9.62,0.00,600.06,2.32,4553375.50,0.00,648.49,11.20,-0.52,-0.58,-0.67,-0.74,-0.75,-0.77,-8.29,-7.47,-8.41,-9.21,-8.84,-11.41,0.41
0.06,8.96,0.00,630.68,2.26,4507387.50,0.00,647.64,11.02,-0.52,-0.59,-0.66,-0.74,-0.74,-0.77,-8.21,-7.48,-8.38,-9.24,-8.94,-11.45,0.41
0.06,8.95,0.00,635.47,2.26,4484161.50,0.00,651.04,10.53,-0.53,-0.59,-0.67,-0.73,-0.75,-0.77,-8.18,-7.52,-8.39,-9.30,-8.99,-11.52,0.41
0.06,9.45,0.00,621.59,2.29,3986377.50,0.00,664.20,11.04,-0.53,-0.58,-0.66,-0.72,-0.74,-0.77,-8.27,-7.53,-8.44,-9.30,-9.00,-11.54,0.41
0.07,9.18,0.00,640.25,2.28,4047805.75,0.00,666.66,11.29,-0.53,-0.58,-0.67,-0.72,-0.74,-0.78,-8.34,-7.44,-8.33,-9.22,-9.00,-11.44,0.40
0.06,10.67,0.00,655.57,2.42,3830837.25,0.00,673.89,10.04,-0.55,-0.60,-0.68,-0.72,-0.75,-0.78,-8.55,-7.55,-8.46,-9.34,-9.21,-11.73,0.40
0.06,8.88,0.00,635.95,2.25,4794491.00,0.00,681.18,9.44,-0.54,-0.61,-0.69,-0.73,-0.76,-0.78,-8.56,-7.48,-8.35,-9.27,-9.14,-11.57,0.40
0.06,10.30,0.00,645.04,2.41,4272396.50,0.00,648.17,9.04,-0.54,-0.61,-0.69,-0.73,-0.75,-0.78,-8.69,-7.56,-8.45,-9.40,-9.30,-11.79,0.40
0.06,9.76,0.00,592.88,2.34,4478140.50,0.00,627.17,9.00,-0.53,-0.61,-0.69,-0.73,-0.76,-0.78,-8.68,-7.47,-8.44,-9.35,-9.26,-11.71,0.39
0.06,10.68,0.00,676.62,2.43,4252340.50,0.00,657.95,8.42,-0.52,-0.60,-0.69,-0.73,-0.76,-0.78,-8.77,-7.49,-8.45,-9.41,-9.24,-11.72,0.39
0.06,10.68,0.00,584.75,2.45,3929261.25,0.00,612.27,8.47,-0.52,-0.60,-0.69,-0.73,-0.76,-0.78,-8.83,-7.42,-8.40,-9.40,-9.19,-11.64,0.39
0.06,11.26,0.00,607.24,2.49,4410010.50,0.00,615.97,8.80,-0.52,-0.59,-0.68,-0.72,-0.76,-0.78,-8.70,-7.37,-8.38,-9.34,-9.14,-11.58,0.38
0.07,9.72,0.00,571.35,2.37,4357390.50,0.00,620.06,10.76,-0.53,-0.58,-0.68,-0.72,-0.76,-0.78,-8.44,-7.19,-8.20,-9.13,-8.91,-11.33,0.39
0.06,10.78,0.00,591.45,2.43,4309686.50,0.00,617.18,10.56,-0.53,-0.57,-0.68,-0.72,-0.76,-0.77,-8.46,-7.21,-8.23,-9.15,-8.92,-11.46,0.39
