alpha,arousal1,betha,theta,gamma,valence1
7.78,0.13,9.03,7.9,8.5,0
7.88,0.13,9.08,7.96,8.52,0
7.89,0.13,9.11,7.98,8.53,0
7.9,0.13,9.14,8.03,8.53,0
7.93,0.13,9.15,8.13,8.53,0
7.97,0.13,9.15,8.23,8.53,0
7.98,0.13,9.15,8.29,8.53,-0.01
7.98,0.13,9.15,8.33,8.49,-0.01
7.98,0.13,7.53,8.33,5.49,-0.01
7.8,0.13,7.14,8.1,5.41,-0.01
7.01,0.14,7.02,7.62,5.38,-0.01
6.05,0.17,6.96,7.37,5.04,-0.03
5.9,0.17,6.3,7.39,4.26,-0.04
5.74,0.17,6.01,7.36,3.88,-0.05
5.7,0.18,4.94,7.16,3.6,-0.05
5.17,0.19,4.65,6.75,3.77,-0.05
4.53,0.22,4.58,6.33,3.77,-0.03
4.48,0.22,4.71,5.95,3.97,-0.02
4.42,0.23,4.64,5.7,3.96,-0.02
4.28,0.23,4.54,5.58,4.04,-0.01
4.05,0.25,4.36,5.25,4.18,-0.01
3.71,0.27,4.31,4.97,4.18,0
3.55,0.28,4.3,4.58,4.2,0.01
3.53,0.28,4.32,4.01,4.21,0.01
3.42,0.29,4.33,3.88,4.17,0
3.47,0.29,4.27,3.86,4.13,0
3.6,0.28,4.33,3.87,4.02,-0.01
3.57,0.28,4.31,3.89,3.98,-0.02
3.44,0.29,4.01,3.73,3.7,-0.03
3.39,0.3,3.99,3.53,3.73,-0.04
3.55,0.28,4.05,3.56,3.31,-0.04
3.62,0.28,4.06,3.58,3.23,-0.05
3.59,0.28,4.06,3.55,3.24,-0.06
3.6,0.28,3.96,3.56,3.22,-0.06
3.7,0.27,3.92,3.5,3.23,-0.05
3.81,0.26,3.94,3.46,3.22,-0.05
3.78,0.26,3.86,3.52,3.01,-0.06
3.65,0.27,3.72,3.61,3.19,-0.06
3.55,0.28,3.68,3.71,3.2,-0.06
3.61,0.28,3.66,3.71,3.26,-0.06
3.58,0.28,3.77,3.66,3.34,-0.07
3.47,0.29,3.54,3.67,3.29,-0.06
3.35,0.3,3.39,3.66,3.32,-0.05
3.32,0.3,3.4,3.61,3.35,-0.04
3.26,0.31,3.54,3.63,3.33,-0.05
3.09,0.32,3.87,3.65,3.62,-0.06
2.99,0.33,4,3.66,3.6,-0.06
3.01,0.33,4.07,3.72,3.77,-0.03
3.11,0.32,4.11,3.93,3.74,-0.01
3.19,0.31,4.15,4.22,3.69,0.01
3.22,0.31,4.38,4.33,3.74,0.03
3.14,0.32,4.44,4.31,3.87,0.04
3.1,0.32,4.48,4.4,4.01,0.04
3.06,0.33,4.6,4.6,4.01,0.03
3.07,0.33,4.59,4.74,4.1,0.03
3.03,0.33,4.58,4.78,4.04,0.04
2.99,0.33,4.45,4.78,4.11,0.05
3.03,0.33,4.41,4.85,4.16,0.03
2.99,0.33,4.3,4.94,4.01,0.02
3.06,0.33,4.32,4.83,4.03,-0.01
3.18,0.31,4.35,4.74,4.07,-0.04
3.24,0.31,4.01,4.89,4.1,-0.05
3.29,0.3,4.03,4.97,3.93,-0.04
3.32,0.3,3.95,4.87,3.84,-0.04
3.38,0.3,3.85,4.69,3.81,-0.03
3.39,0.29,3.65,4.59,3.7,-0.03
3.47,0.29,3.68,4.59,3.68,-0.02
3.62,0.28,3.75,4.53,3.44,-0.01
3.61,0.28,3.7,4.38,3.61,-0.01
3.56,0.28,3.78,4.29,3.57,-0.01
3.48,0.29,3.73,4.3,3.64,0
3.25,0.31,3.91,4.24,3.69,0.01
3.21,0.31,4.13,4.11,3.72,0.01
3.38,0.3,4.13,4.29,3.78,-0.01
3.47,0.29,4.07,4.4,3.77,-0.02
3.48,0.29,4.08,4.43,3.86,-0.02
