alpha,arousal1,betha,theta,gamma,valence1
3.43,0.292,2.93,3.36,2.04,-0.0433
3.45,0.29,3.16,3.39,1.97,-0.0442
3.61,0.277,3.23,3.42,1.96,-0.0434
3.8,0.263,3.24,3.4,2.23,-0.0392
3.87,0.259,3.14,3.36,2.23,-0.0408
3.84,0.26,3.17,3.33,2.23,-0.041
3.75,0.266,3.21,3.34,2.19,-0.0402
3.71,0.269,3.04,3.33,2.12,-0.0358
3.74,0.268,3.02,3.4,2.08,-0.0314
3.67,0.272,3.04,3.34,2.1,-0.0277
3.55,0.282,3.01,3.21,2.08,-0.023
3.47,0.288,2.95,3.23,2.25,-0.0204
3.41,0.294,2.74,3.25,2.33,-0.0137
3.27,0.306,2.66,3.42,2.12,-0.000264
3.22,0.311,2.63,3.76,2.02,0.0215
3.15,0.317,2.71,4.06,2,0.035
3.07,0.326,2.62,4.26,1.94,0.0446
3.07,0.326,2.48,4.33,1.9,0.0437
3.09,0.324,2.68,4.33,1.94,0.0269
3.08,0.324,2.78,4.33,2.02,0.0232
3.08,0.325,2.99,4.38,2.09,0.0314
3.09,0.324,3.15,4.43,1.97,0.0286
3.15,0.317,3.36,4.48,1.8,0.0327
3.22,0.31,3.36,4.5,1.78,0.0436
3.1,0.322,3.47,4.43,1.76,0.0491
2.83,0.354,3.55,4.25,1.72,0.0556
2.74,0.365,3.53,3.97,1.71,0.0562
2.8,0.357,3.53,3.64,1.79,0.0592
2.81,0.356,3.63,3.57,1.86,0.0797
2.8,0.358,3.55,3.62,1.88,0.112
2.88,0.347,3.65,3.69,2.39,0.11
3.17,0.315,3.52,4.39,2.65,0.0698
3.47,0.288,3.5,5.13,2.75,0.0369
3.53,0.283,3.44,5.36,2.76,0.0243
3.53,0.283,3.37,5.39,2.84,0.0202
3.47,0.288,3.27,5.45,2.83,0.0135
3.45,0.29,3.17,5.48,2.84,0.0111
3.39,0.295,3.17,5.48,2.87,0.0101
3.35,0.299,3.13,5.48,2.84,0.0111
3.34,0.299,3.01,5.47,2.82,0.00863
3.3,0.303,2.97,5.45,2.72,0.000798
3.18,0.314,2.91,5.39,2.31,-0.00543
2.76,0.362,2.91,5.04,1.99,0.000909
2.39,0.418,3.07,4.28,2,0.0427
2.05,0.488,3,3.62,2.1,0.0673
2.1,0.476,3.04,3.36,2.02,0.0732
2.05,0.488,3.08,2.9,2.09,0.0927
2.01,0.496,3.14,2.61,2.18,0.0827
2.35,0.425,3.23,2.74,2.36,0.0243
2.67,0.375,3.24,2.73,2.4,0.0237
2.72,0.368,3.21,2.85,2.41,0.0334
2.72,0.368,3.16,3.09,2.36,0.0279
2.79,0.359,3.08,3.09,2.31,0.015
2.87,0.348,2.94,3.08,2.25,0.0111
2.92,0.343,2.79,3.03,2.22,0.00949
3,0.333,2.73,3.08,2.08,-0.000844
3.02,0.331,2.66,3.18,1.95,-0.0141
3,0.333,2.63,3.14,1.94,-0.0151
3,0.334,2.53,3.48,1.71,-0.00649
3.11,0.322,2.35,3.89,1.36,0.00874
3.22,0.31,2.56,3.92,1.44,0.00674
3.29,0.304,2.6,3.91,1.47,0.00234
3.26,0.306,2.89,4.07,2.34,0.0043
3.21,0.312,3.18,4.08,2.56,0.00897
3.3,0.303,3.55,4.15,2.6,0.0386
3.32,0.301,3.64,4.47,2.6,0.0569
3.24,0.308,3.64,4.68,2.66,0.0625
3.28,0.305,3.66,4.74,2.65,0.0682
3.44,0.291,3.69,4.74,2.71,0.0705
3.53,0.283,3.7,4.57,2.73,0.0696
3.45,0.29,3.7,4.47,2.7,0.0679
3.27,0.306,3.71,4.47,2.76,0.0785
3.27,0.306,3.72,4.42,2.77,0.0813
3.3,0.303,3.5,4.3,2.23,0.0776
3.28,0.305,3.46,4.29,2.62,0.0767
3.17,0.315,2.94,4.2,2.73,0.0633
3.12,0.32,2.92,3.86,2.73,0.0547
3.14,0.319,2.93,3.63,2.75,0.0552
3.02,0.331,2.92,3.5,2.78,0.0377
2.72,0.367,2.78,3.42,2.82,0.0095
2.37,0.423,2.73,3.41,2.84,-0.00518
2.17,0.461,2.66,3.4,2.83,0.0139
2.2,0.454,2.68,3.52,2.83,0.0251
2.18,0.459,3.24,3.74,2.85,0.0448
2.35,0.425,3.7,4.04,2.86,0.0791
2.65,0.378,3.77,4.39,2.45,0.066
3.09,0.324,3.81,4.74,2.44,0.0458
3.36,0.297,3.79,4.91,2.51,0.0395
3.38,0.296,3.88,4.97,2.46,0.0436
3.35,0.298,3.86,5.02,2.42,0.046
3.34,0.299,3.88,5.05,2.22,0.0483
3.35,0.298,3.88,5.08,2.26,0.0482
3.35,0.299,3.89,5.12,2.26,0.0457
3.39,0.295,3.94,5.08,2.29,0.0372
3.4,0.294,3.72,5.02,2.25,0.0312
3.33,0.301,3.14,4.92,2.16,0.0263
3.09,0.324,3.22,4.63,2.36,0.0252
2.52,0.397,3.18,4.22,2.23,0.00371
2.29,0.436,3.15,3.93,2.26,-0.0655
2.52,0.396,3,3.77,2.34,-0.0893
2.69,0.372,3.16,3.59,2.45,-0.0901
2.87,0.348,3.15,3.6,2.45,-0.0586
2.99,0.334,3.16,3.63,2.46,-0.0374
3.06,0.326,3.16,3.49,2.58,-0.026
2.98,0.335,2.96,3.5,2.65,-0.0248
2.94,0.341,3.03,3.47,2.67,-0.0172
2.99,0.334,3.05,3.45,2.64,-0.0115
3.52,0.284,3.52,4.74,3.17,-0.0119
3.59,0.279,3.51,4.77,3.17,-0.00641
3.71,0.27,3.58,4.83,3.16,0.00116
3.82,0.262,3.8,4.9,3.42,0.00509
3.9,0.256,3.87,4.8,3.33,0.00255
3.89,0.257,3.86,4.6,3.33,0.00571
3.7,0.27,3.86,4.43,3.42,0.00796
3.5,0.285,3.9,4.28,3.43,0.0155
3.39,0.295,3.89,4.21,3.45,0.0306
3.39,0.295,3.94,4.2,3.48,0.0366
3.43,0.291,4,4.5,3.49,0.0318
3.43,0.292,3.96,4.78,3.49,0.0296
3.32,0.301,4,4.81,3.51,0.0353
3.18,0.314,3.96,4.72,3.41,0.0514
3.03,0.33,3.55,4.63,3.25,0.0716
2.85,0.351,3.63,4.61,3.22,0.0805
2.83,0.354,3.92,4.56,3.29,0.0768
3.04,0.329,4.21,4.55,3.36,0.0924
3.45,0.29,4.18,4.57,3.43,0.102
3.67,0.273,4.16,4.69,3.44,0.0994
3.75,0.267,4.14,4.72,3.38,0.0815
3.82,0.262,4.21,4.55,3.4,0.0668
4.03,0.248,4.25,4.71,3.42,0.0603
4.19,0.239,4.29,4.94,3.43,0.047
4.18,0.239,4.3,5.26,3.44,0.042
4.14,0.241,4.3,5.65,3.4,0.042
4.14,0.242,4.24,5.83,3.37,0.0402
4.13,0.242,3.85,5.88,3.21,0.0348
4.07,0.246,3.71,5.89,3.16,0.0248
3.97,0.252,3.69,5.87,3.05,0.00812
3.86,0.259,3.74,5.83,3.01,-0.00409
3.82,0.261,3.68,5.84,2.96,-0.00281
3.64,0.275,3.54,5.79,2.94,-0.0137
3.27,0.306,3.35,5.65,2.72,-0.0349
3.03,0.33,3.23,5.49,2.63,-0.0526
3.01,0.332,3.1,5.29,2.7,-0.0431
3.15,0.317,3.29,5.1,2.83,-0.0116
3.43,0.291,3.3,5.16,2.67,0.0214
3.8,0.263,3.31,5.5,2.69,0.0375
3.91,0.256,3.24,5.61,2.72,0.0456
3.91,0.256,3.26,5.63,2.76,0.0583
3.9,0.256,3.11,5.67,2.74,0.0736
3.9,0.256,3.13,5.69,2.76,0.0867
3.89,0.257,3.16,5.69,2.81,0.0925
3.88,0.258,3.16,5.69,2.83,0.0952
3.88,0.258,3.19,5.64,2.85,0.0956
3.91,0.256,3.05,5.5,2.74,0.0735
3.85,0.26,2.92,5.44,2.65,0.056
3.6,0.278,2.76,5.29,2.81,0.0552
3.17,0.315,2.66,5.03,2.73,0.0514
2.69,0.372,2.65,5,2.81,0.0243
2.5,0.399,2.75,5,2.86,-0.00891
2.44,0.41,2.92,4.98,2.86,-0.0855
3.01,0.332,3.01,5.24,2.81,-0.052
3.53,0.284,3.09,5.42,2.76,-0.00892
3.76,0.266,3.17,5.43,2.75,-0.00101
3.77,0.265,3.14,5.43,2.65,-0.00139
3.73,0.268,3.05,5.41,2.75,0.00184
3.75,0.266,3.06,5.31,2.48,0.00965
3.95,0.253,3.12,5.15,2.34,0.0108
4.08,0.245,3.2,5,2.32,0.0106
4.15,0.241,3.21,4.95,2.23,0.0119
4.22,0.237,3.25,5.06,2.03,0.012
4.26,0.235,3.03,5.09,2.03,0.0135
4.11,0.243,3.02,4.74,2.01,0.0154
3.82,0.262,3.26,4.32,2.05,0.0117
3.89,0.257,3.64,4.25,2.1,0.0142
4.16,0.241,3.62,4.62,2.07,0.0221
4.3,0.233,3.69,5.05,2.04,0.0258
4.21,0.238,3.74,5.13,2.07,0.0283
4.23,0.236,3.95,5.21,2.6,0.026
4.32,0.231,3.95,5.29,2.6,0.0198
4.37,0.229,3.94,5.27,2.59,0.015
4.36,0.229,3.93,5.16,2.6,0.0134
4.33,0.231,4.01,5.15,2.62,0.0146
4.32,0.232,4.12,5.17,2.67,0.0154
4.32,0.232,3.91,5.18,2.67,0.0154
4.15,0.241,3.85,5.14,2.66,0.0125
3.87,0.258,3.84,4.78,2.64,-0.00136
3.91,0.256,3.82,4.53,2.55,-0.00992
3.92,0.255,3.79,4.65,2.39,-0.00972
3.7,0.27,3.51,4.63,1.88,-0.0126
3.33,0.3,3.47,4.58,1.92,-0.0121
2.98,0.336,3.45,4.6,1.85,-0.00197
2.84,0.352,3.47,4.59,2,-0.00162
2.82,0.355,3.14,4.5,1.96,-0.0064
2.85,0.351,3.04,4.48,1.86,-0.00786
2.81,0.355,3,4.45,1.91,-0.0193
2.78,0.359,2.8,4.3,1.91,-0.0267
2.41,0.415,2.67,4.21,1.88,-0.0322
1.92,0.522,2.67,4.1,1.82,-0.0611
2.01,0.498,2.67,3.84,2.13,-0.101
2.36,0.423,2.92,3.48,2.53,-0.121
2.75,0.364,3.03,3.44,2.97,-0.142
2.97,0.336,3.03,3.79,3.05,-0.154
3,0.333,3.08,3.93,3.05,-0.167
3.07,0.326,3.06,3.96,3.11,-0.155
3.13,0.32,3.01,3.97,3.17,-0.141
3.11,0.321,3.12,3.94,3.17,-0.132
3.14,0.319,3.16,3.95,3.15,-0.112
3.18,0.314,3.19,3.99,3.2,-0.0886
3.18,0.314,3.22,3.97,3.19,-0.0734
3.14,0.319,3.09,3.97,3.05,-0.0565
2.93,0.341,2.91,3.95,2.68,-0.0355
2.61,0.382,2.92,3.74,2.44,0.00643
2.59,0.387,3.01,4.03,2.44,0.032
2.76,0.362,3.01,4.86,2.37,0.0496
3.31,0.302,2.74,2.63,1.8,-0.0375
3.29,0.304,2.72,2.58,1.91,-0.0432
3.29,0.304,2.76,2.42,1.81,-0.0434
3.21,0.312,2.71,2.43,1.82,-0.0446
2.91,0.343,2.73,2.93,1.81,-0.0581
2.83,0.354,2.74,3.62,1.73,-0.0381
2.85,0.35,2.87,3.91,1.69,-0.00894
2.82,0.355,2.79,3.95,1.77,-0.00838
2.96,0.338,2.87,3.97,1.82,-0.0166
3.29,0.304,2.88,4.01,1.83,-0.00298
3.47,0.288,2.89,4.09,1.96,0.011
3.44,0.291,2.85,4.28,1.81,0.0175
3.43,0.292,2.8,4.38,1.66,0.0226
3.55,0.282,2.8,4.38,1.74,0.0232
3.68,0.271,2.8,4.34,1.76,0.0218
3.75,0.266,2.64,4.18,1.74,0.0204
3.73,0.268,2.52,3.94,1.81,0.0138
3.75,0.267,2.48,3.89,1.88,0.00768
3.84,0.26,2.66,4.42,1.88,0.0159
